Key,TEST_RULE,ACT_English,ACT_Math,ACT_Reading,ACT_Science_Reasoning,ACT_Composite,ACT_Combined English_Writing,TEST_RULE,SAT_Critical_Reading,SAT_Mathematics,SAT_Writing
043600,ACT,35,36,32,35,34,,,,,
043606,ACT,34,34,31,31,31,,,,,
043643,,,,,,,,,,,
043647,ACT,27,30,28,27,27,,,,,
043830,,,,,,,,,,,
043833,ACT,22,29,22,24,24,,,,,
043836,ACT,31,31,31,31,31,,,,,
043866,ACT,35,28,33,31,32,,,,,
043875,ACT,27,27,20,23,24,,,,,
043899,,,,,,,,,,,
043900,ACT,17,28,24,27,24,,,,,
044014,,,,,,,,,,,
044015,,,,,,,,,,,
044025,ACT,33,29,29,25,29,,,,,
044026,ACT,33,31,34,31,32,,,,,
044033,ACT,24,18,17,21,20,,,,,
044042,ACT,23,28,29,27,27,,,,,
044060,ACT,26,27,25,24,26,,,,,
044061,ACT,25,25,31,28,25,,,,,
044066,,,,,,,,,,,
044101,,,,,,,,,,,
044107,,,,,,,,,,,
044122,,,,,,,,,,,
044123,ACT,27,27,25,20,25,,,,,
044199,ACT,28,31,31,33,31,,,,,
044208,ACT,27,27,29,30,28,,,,,
044217,,,,,,,,,,,
044220,ACT,29,32,26,34,30,,,,,
044256,ACT,33,35,30,36,34,,,,,
044265,ACT,29,29,30,30,30,,,,,
044271,ACT,20,25,20,26,23,,,,,
044272,,,,,,,,,,,
044284,ACT,35,28,35,28,31,,,,,
044290,ACT,25,28,23,29,26,,,,,
044291,ACT,27,28,22,26,26,,,,,
044293,ACT,32,27,28,24,26,,,,,
044294,ACT,30,34,31,32,32,,,,,
044302,ACT,33,30,28,24,28,,,,,
044315,,,,,,,,,,,
044385,ACT,25,26,25,25,25,,,,,
044402,ACT,35,24,35,28,30,,,,,
044413,ACT,35,29,35,33,33,,,,,
044416,ACT,30,30,34,31,31,,,,,
044440,,,,,,,,,,,
044444,,,,,,,,,,,
044476,ACT,34,31,34,33,33,,,,,
044478,ACT,35,30,34,34,33,,,,,
044487,,,,,,,,,,,
044495,ACT,30,30,33,32,31,,,,,
044504,,,,,,,,,,,
044505,ACT,28,27,30,25,27,,,,,
044506,ACT,26,25,32,28,28,,,,,
044517,ACT,27,28,28,29,28,,,,,
044526,ACT,24,28,18,28,25,,,,,
044533,ACT,33,29,29,31,31,,,,,
044552,ACT,32,32,30,34,32,,,,,
044637,,,,,,,,,,,
044648,,,,,,,,,,,
044652,,,,,,,,,,,
044690,ACT,15,17,18,21,18,,SAT,360,330,370
044712,,,,,,,,,,,
044716,ACT,24,30,28,30,28,,,,,
044721,ACT,24,27,31,25,27,,,,,
044722,ACT,30,33,34,33,33,,,,,
044726,,,,,,,,,,,
044727,,,,,,,,,,,
044744,ACT,32,28,32,33,31,,,,,
044749,ACT,25,28,32,26,28,,,,,
044763,ACT,33,29,34,35,33,,,,,
044873,,,,,,,,,,,
044926,,,,,,,,,,,
044929,ACT,28,30,35,30,31,,,,,
044931,ACT,23,27,23,25,25,,,,,
044934,,,,,,,,,,,
044968,,,,,,,,,,,
044986,ACT,23,25,22,27,24,,,,,
044991,,,,,,,,,,,
045010,,,,,,,,,,,
045013,ACT,22,26,21,26,24,,,,,
045020,ACT,31,29,30,30,29,,,,,
045087,ACT,24,24,28,22,24,,,,,
045111,,,,,,,,,,,
045114,ACT,27,26,26,30,27,,,,,
045121,,,,,,,,,,,
045134,ACT,26,28,23,32,26,,,,,
045137,,,,,,,,,,,
045153,ACT,30,31,28,30,30,,,,,
045156,ACT,27,29,30,29,29,,,,,
045159,ACT,15,17,16,18,17,,,,,
045259,ACT,15,23,14,19,18,,,,,
045262,ACT,34,33,34,36,34,,,,,
045269,,,,,,,,,,,
045273,ACT,33,31,32,34,33,,,,,
045277,ACT,30,34,31,32,32,,,,,
045282,ACT,27,34,28,25,29,,,,,
045285,,,,,,,,,,,
045311,ACT,30,29,31,34,31,,,,,
045403,ACT,33,27,33,31,31,,,,,
045415,,,,,,,,,,,
045416,,,,,,,,,,,
045451,,,,,,,,,,,
045466,ACT,29,28,32,33,31,,,,,
045474,,,,,,,,,,,
045481,ACT,35,33,32,35,34,,,,,
045506,ACT,28,30,32,27,28,,,,,
045507,,,,,,,,,,,
045526,ACT,21,26,23,22,23,,,,,
045537,ACT,28,33,30,31,30,,,,,
045543,ACT,34,30,33,32,32,,,,,
045554,ACT,24,31,24,25,26,,,,,
045555,,,,,,,,,,,
045568,ACT,35,33,31,30,31,,,,,
045577,ACT,22,25,29,26,26,,,,,
045616,ACT,32,28,24,28,28,,,,,
045618,ACT,26,29,27,26,27,,,,,
045646,ACT,33,27,34,29,30,,,,,
045650,ACT,22,28,29,26,26,,,,,
045663,ACT,25,27,30,25,26,,,,,
045668,,,,,,,,,,,
045671,ACT,25,27,24,26,25,,,,,
045673,,,,,,,,,,,
045691,ACT,24,29,32,26,28,,,,,
045698,,,,,,,,,,,
045725,ACT,23,26,22,25,23,,,,,
045754,ACT,28,35,33,34,33,,,,,
045761,,,,,,,,,,,
045784,ACT,26,30,31,26,28,,,,,
045834,ACT,23,33,32,31,30,,,,,
045874,,,,,,,,,,,
045886,,,,,,,,,,,
045893,ACT,27,31,34,31,30,,,,,
045905,ACT,31,25,23,25,26,,,,,
045931,,,,,,,,,,,
045934,ACT,31,34,33,31,32,,,,,
045951,,,,,,,,,,,
045953,,,,,,,,,,,
045956,ACT,21,20,21,22,21,,,,,
045960,ACT,27,26,23,25,25,,,,,
045961,ACT,35,28,30,26,29,,,,,
045967,ACT,24,27,28,24,26,,,,,
045969,,,,,,,,,,,
045991,ACT,31,35,21,34,30,,,,,
046000,ACT,19,25,19,23,22,,,,,
046014,ACT,22,28,32,28,28,,,,,
046142,ACT,30,29,27,33,29,,,,,
046143,ACT,28,31,33,31,31,,,,,
046150,ACT,23,26,27,24,25,,,,,
046156,ACT,32,32,30,29,31,,,,,
046167,,,,,,,,,,,
046168,ACT,24,26,32,25,25,,,,,
046169,,,,,,,,,,,
046175,ACT,27,27,26,21,25,,,,,
046191,ACT,26,34,34,31,30,,,,,
046193,,,,,,,,,,,
046204,ACT,32,27,26,24,27,,,,,
046224,,,,,,,,,,,
046232,,,,,,,,,,,
046236,ACT,33,29,33,29,31,,,,,
046254,ACT,25,27,31,27,28,,,,,
046259,ACT,35,27,24,21,27,,,,,
046261,,,,,,,,,,,
046280,ACT,20,26,21,23,23,,,,,
046281,,,,,,,,,,,
046283,,,,,,,,,,,
046288,ACT,31,29,32,34,31,,,,,
046300,ACT,24,25,20,26,24,,,,,
046309,ACT,23,29,31,29,28,,,,,
046517,,,,,,,,,,,
046547,,,,,,,,,,,
046556,,,,,,,,,,,
046583,ACT,27,27,26,30,26,,,,,
046597,,,,,,,,,,,
046598,ACT,23,32,21,27,26,,,,,
046610,,,,,,,,,,,
046614,,,,,,,,,,,
046658,ACT,35,35,33,34,34,,,,,
046666,ACT,31,26,27,25,27,,,,,
046693,,,,,,,,,,,
046703,ACT,25,29,22,26,26,,,,,
046776,,,,,,,,,,,
046796,,,,,,,,,,,
046809,,,,,,,,,,,
046866,,,,,,,,,,,
046873,ACT,24,18,20,24,21,,,,,
046880,,,,,,,,,,,
046881,ACT,31,32,32,28,31,,,,,
046884,,,,,,,,,,,
046889,ACT,29,30,25,27,28,,,,,
046897,ACT,28,29,34,29,29,,,,,
046913,ACT,20,20,21,20,20,,,,,
046915,ACT,36,34,34,34,35,,,,,
047054,ACT,35,34,34,34,34,,,,,
047057,,,,,,,,,,,
047072,,,,,,,,,,,
047075,ACT,25,24,23,25,24,,,,,
047077,ACT,29,36,30,31,32,,,,,
047096,ACT,25,24,18,23,23,,,,,
047101,ACT,23,26,27,22,25,,,,,
047119,,,,,,,,,,,
047123,ACT,24,28,25,30,27,,,,,
047126,,,,,,,,,,,
047130,,,,,,,,,,,
047158,,,,,,,,,,,
047159,ACT,24,25,21,20,23,,,,,
047167,ACT,28,29,30,27,29,,,,,
047193,ACT,17,21,17,14,17,,,,,
047280,,,,,,,,,,,
047285,ACT,26,26,25,27,25,,,,,
047305,,,,,,,,,,,
047312,ACT,33,32,34,32,33,,,,,
047367,ACT,28,31,33,34,31,,,,,
047388,ACT,24,24,23,25,24,,,,,
047401,ACT,21,20,19,18,20,,,,,
047404,,,,,,,,,,,
047414,,,,,,,,,,,
047423,ACT,23,24,27,25,25,,,,,
047442,ACT,27,34,36,31,32,,,,,
047446,ACT,32,32,32,34,33,,,,,
047487,ACT,22,24,24,25,24,,,,,
047513,,,,,,,,,,,
047540,ACT,33,30,33,27,31,,,,,
047584,,,,,,,,,,,
047751,ACT,35,31,35,36,34,,,,,
047764,ACT,33,32,31,35,33,,,,,
047769,,,,,,,,,,,
047773,,,,,,,,,,,
047775,ACT,32,29,27,31,30,,,,,
047787,ACT,31,30,31,33,31,,,,,
047791,,,,,,,,,,,
047792,ACT,30,30,32,31,31,,,,,
047806,ACT,30,32,31,35,31,,,,,
047819,ACT,36,34,35,36,35,,,,,
047824,,,,,,,,,,,
047826,,,,,,,,,,,
047832,ACT,29,27,29,29,27,,,,,
047841,ACT,35,27,35,30,32,,,,,
047847,ACT,30,31,30,30,30,,,,,
047850,ACT,31,31,27,31,30,,,,,
047873,ACT,32,30,33,32,32,,,,,
047883,ACT,30,27,25,27,27,,,,,
047897,,,,,,,,,,,
047911,ACT,26,34,26,36,31,,,,,
047915,,,,,,,,,,,
047918,ACT,35,29,36,34,33,,,,,
047929,,,,,,,,,,,
047930,,,,,,,,,,,
047931,ACT,35,33,32,33,33,,,,,
047932,ACT,29,29,25,27,28,,,,,
047935,ACT,26,32,26,26,28,,,,,
047947,ACT,35,34,32,31,32,,,,,
047957,ACT,35,35,34,35,34,,,,,
047958,,,,,,,,,,,
047971,ACT,28,35,32,35,33,,,,,
047979,ACT,23,27,27,25,26,,,,,
047999,,,,,,,,,,,
048022,,,,,,,,,,,
048023,,,,,,,,,,,
048039,ACT,22,20,31,25,24,,,,,
048057,,,,,,,,,,,
048072,ACT,35,29,35,28,31,,,,,
048075,,,,,,,,,,,
048079,ACT,23,31,21,24,25,,,,,
048080,ACT,26,31,22,31,28,,,,,
048084,ACT,35,28,36,29,32,,,,,
048089,ACT,27,35,25,30,29,,,,,
048107,,,,,,,,,,,
048116,ACT,34,28,28,28,30,,,,,
048120,ACT,31,31,34,32,32,,,,,
048237,,,,,,,,,,,
048251,ACT,27,26,31,27,28,,,,,
048259,ACT,34,31,26,27,30,,,,,
048261,ACT,29,27,34,34,31,,,,,
048265,ACT,21,24,29,24,25,,,,,
048303,ACT,28,29,32,35,31,,,,,
048306,ACT,22,30,20,25,23,,,,,
048313,ACT,35,29,33,28,31,,,,,
048322,,,,,,,,,,,
048325,ACT,36,30,35,32,33,,,,,
048343,ACT,24,25,24,26,24,,,,,
048353,ACT,29,30,32,36,32,,,,,
048386,ACT,32,32,28,25,29,,,,,
048397,,,,,,,,,,,
048415,ACT,26,30,29,29,29,,,,,
048439,ACT,27,24,25,30,26,,,,,
048443,ACT,35,31,34,33,33,,,,,
048478,,,,,,,,,,,
048496,,,,,,,,,,,
048556,ACT,35,33,36,31,34,,,,,
048559,ACT,35,32,29,34,32,,,,,
048563,,,,,,,,,,,
048567,ACT,22,25,28,25,25,,,,,
048569,ACT,32,31,32,33,32,,,,,
048584,,,,,,,,,,,
048591,ACT,32,29,27,31,30,,,,,
048592,,,,,,,,,,,
048619,ACT,29,25,29,25,27,,,,,
048625,ACT,27,31,30,31,30,,,,,
048644,ACT,22,28,19,28,24,,,,,
048645,ACT,34,30,26,27,29,,,,,
048655,ACT,24,28,27,25,26,,,,,
048664,ACT,19,23,27,22,23,,,,,
048665,ACT,33,33,34,33,33,,,,,
048679,,,,,,,,,,,
048680,,,,,,,,,,,
048681,ACT,28,27,24,27,26,,,,,
048682,ACT,27,32,23,27,27,,,,,
048700,ACT,24,28,22,28,26,,,,,
048703,ACT,34,34,34,33,34,,,,,
048705,,,,,,,,,,,
048706,ACT,34,32,33,36,32,,,,,
048717,ACT,29,19,26,29,25,,,,,
048730,,,,,,,,,,,
048741,ACT,32,25,25,25,25,,,,,
048766,,,,,,,,,,,
048891,ACT,31,27,35,32,31,,,,,
048925,,,,,,,,,,,
048938,,,,,,,,SAT,620,630,610
048948,,,,,,,,,,,
048967,ACT,30,33,34,36,33,,,,,
048989,ACT,17,27,22,22,22,,,,,
048993,ACT,22,19,22,23,22,,,,,
048998,,,,,,,,,,,
049005,ACT,25,29,30,36,29,,,,,
049012,ACT,34,32,31,35,33,,,,,
049026,ACT,35,28,29,32,31,,,,,
049027,ACT,35,27,27,28,29,,,,,
049045,,,,,,,,,,,
049047,ACT,32,30,28,31,30,,,,,
049053,ACT,30,32,33,30,31,,,,,
049064,,,,,,,,,,,
049070,ACT,24,28,31,28,28,,,,,
049071,,,,,,,,,,,
049090,,,,,,,,,,,
049111,ACT,28,35,24,26,28,,,,,
049144,ACT,27,27,35,33,31,,,,,
049153,,,,,,,,,,,
049172,ACT,24,32,22,30,27,,,,,
049181,,,,,,,,,,,
049189,ACT,18,29,24,28,25,,,,,
049212,ACT,35,33,33,29,33,,,,,
049217,,,,,,,,,,,
049221,ACT,17,27,19,19,21,,,,,
049226,,,,,,,,,,,
049227,,,,,,,,,,,
049229,,,,,,,,,,,
049256,,,,,,,,,,,
049358,,,,,,,,,,,
049362,ACT,32,28,34,30,29,,,,,
049389,,,,,,,,,,,
049396,,,,,,,,,,,
049427,,,,,,,,,,,
049433,,,,,,,,,,,
049435,,,,,,,,,,,
049462,,,,,,,,,,,
049479,,,,,,,,,,,
049590,ACT,24,28,25,27,26,,,,,
049593,ACT,33,34,34,30,32,,,,,
049616,,,,,,,,,,,
049618,ACT,35,31,33,33,33,,,,,
049620,,,,,,,,,,,
049622,,,,,,,,,,,
049625,ACT,28,27,28,27,28,,,,,
049633,ACT,36,35,33,35,35,,,,,
049640,,,,,,,,,,,
049653,ACT,26,30,33,30,30,,,,,
049654,ACT,30,34,34,30,32,,,,,
049663,ACT,22,30,29,29,28,,,,,
049687,,,,,,,,,,,
049689,ACT,33,28,30,32,30,,,,,
049691,ACT,35,29,31,30,30,,,,,
049713,,,,,,,,,,,
049719,,,,,,,,,,,
049734,ACT,35,29,34,34,33,,,,,
049735,ACT,32,33,35,28,32,,,,,
049744,ACT,35,33,36,33,34,,,,,
049746,ACT,26,35,30,25,29,,,,,
049753,ACT,30,33,31,35,32,,,,,
049763,,,,,,,,,,,
049796,ACT,32,28,34,32,32,,,,,
049806,,,,,,,,,,,
049807,,,,,,,,,,,
049933,ACT,26,28,32,29,28,,,,,
049950,ACT,35,33,30,28,31,,,,,
049988,,,,,,,,,,,
049999,ACT,30,29,30,27,28,,,,,
050007,ACT,25,24,28,24,25,,,,,
050041,ACT,26,30,23,29,27,,,,,
050052,ACT,30,29,34,33,32,,,,,
050072,,,,,,,,,,,
050095,ACT,31,27,33,24,29,,,,,
050096,ACT,21,27,23,27,25,,,,,
050099,ACT,24,26,23,24,24,,,,,
050103,ACT,26,24,22,24,24,,,,,
050108,,,,,,,,,,,
050111,,,,,,,,,,,
050120,ACT,25,32,24,26,27,,,,,
050131,,,,,,,,,,,
050141,,,,,,,,,,,
050143,ACT,23,33,25,28,26,,,,,
050152,ACT,29,32,33,33,32,,,,,
050156,ACT,32,34,35,31,33,,,,,
050182,ACT,23,30,28,30,28,,,,,
050192,ACT,24,31,23,26,26,,,,,
050218,ACT,21,30,27,23,25,,,,,
050222,ACT,21,26,33,22,26,,,,,
050232,ACT,31,31,35,33,33,,,,,
050234,,,,,,,,,,,
050239,ACT,25,22,21,21,22,,,,,
050305,ACT,26,26,27,27,27,,,,,
050350,,,,,,,,,,,
050378,,,,,,,,,,,
050386,ACT,30,30,29,29,29,,,,,
050428,,,,,,,,,,,
050436,ACT,24,19,29,21,23,,,,,
050443,ACT,25,26,22,31,26,,,,,
050446,ACT,29,29,32,33,31,,,,,
050457,ACT,36,31,35,36,35,,,,,
050461,ACT,28,26,23,27,25,,,,,
050462,,,,,,,,,,,
050487,,,,,,,,,,,
050529,ACT,35,33,33,33,32,,,,,
050533,,,,,,,,,,,
050544,,,,,,,,,,,
050557,ACT,20,19,22,21,21,,,,,
050573,,,,,,,,,,,
050578,ACT,29,31,28,34,31,,,,,
050579,,,,,,,,,,,
050583,ACT,36,35,35,34,35,,SAT,620,660,610
050597,ACT,30,31,27,25,28,,,,,
050598,ACT,33,28,24,28,28,,,,,
050600,ACT,34,34,36,35,35,,,,,
050633,ACT,30,29,32,25,29,,,,,
050639,,,,,,,,,,,
050682,ACT,26,29,24,27,26,,,,,
050690,ACT,30,29,32,33,31,,,,,
050692,ACT,34,28,27,25,29,,,,,
050700,ACT,36,33,35,34,34,,,,,
050770,,,,,,,,,,,
050797,ACT,36,30,35,30,33,,,,,
050798,ACT,33,32,36,33,34,,,,,
050809,,,,,,,,,,,
050820,,,,,,,,,,,
050821,ACT,28,33,33,33,32,,,,,
050833,,,,,,,,,,,
050857,,,,,,,,,,,
050864,ACT,22,29,26,33,28,,,,,
050870,ACT,34,29,34,35,33,,,,,
050891,ACT,34,30,34,35,33,,,,,
050897,,,,,,,,,,,
050906,,,,,,,,,,,
050926,,,,,,,,,,,
050930,ACT,29,28,30,30,29,,,,,
050935,ACT,31,29,27,31,30,,,,,
050942,,,,,,,,,,,
050946,,,,,,,,,,,
050957,,,,,,,,,,,
050960,,,,,,,,,,,
050978,ACT,32,33,35,30,33,,,,,
050993,ACT,22,25,30,26,26,,,,,
051009,,,,,,,,,,,
051013,ACT,34,34,35,36,35,,,,,
051023,,,,,,,,,,,
051032,ACT,29,26,27,24,27,,,,,
051034,,,,,,,,,,,
051036,ACT,23,26,20,20,22,,,,,
051047,ACT,34,28,32,28,30,,SAT,620,510,560
051068,,,,,,,,,,,
051077,,,,,,,,,,,
051087,,,,,,,,,,,
051102,,,,,,,,,,,
051108,ACT,28,33,22,31,28,,,,,
051234,ACT,23,25,22,23,23,,,,,
051260,,,,,,,,,,,
051265,ACT,26,28,32,28,29,,,,,
051268,ACT,30,34,36,36,34,,,,,
051271,ACT,26,33,31,29,30,,,,,
051286,ACT,21,29,24,25,25,,,,,
051290,ACT,36,36,36,31,35,,,,,
051295,,,,,,,,,,,
051314,ACT,30,29,30,25,29,,,,,
051315,ACT,34,32,31,36,33,,,,,
051316,,,,,,,,,,,
051317,,,,,,,,,,,
051320,,,,,,,,,,,
051334,ACT,34,34,36,35,34,,,,,
051336,ACT,35,35,32,34,34,,,,,
051346,ACT,22,28,21,21,23,,,,,
051347,ACT,35,34,35,31,34,,,,,
051361,ACT,34,33,35,36,35,,,,,
051367,,,,,,,,,,,
051375,ACT,23,27,22,31,26,,,,,
051389,ACT,26,27,30,29,28,,,,,
051396,ACT,28,31,33,35,30,,,,,
051398,,,,,,,,,,,
051431,,,,,,,,,,,
051466,ACT,31,31,33,30,30,,,,,
051467,ACT,35,30,30,31,32,,,,,
051470,,,,,,,,,,,
051475,ACT,24,24,32,24,26,,,,,
051478,,,,,,,,,,,
051484,,,,,,,,,,,
051497,,,,,,,,,,,
051507,ACT,25,27,32,28,28,,,,,
051524,ACT,24,33,32,30,30,,,,,
051535,ACT,34,33,31,32,33,,,,,
051574,,,,,,,,,,,
051578,,,,,,,,,,,
051583,ACT,24,30,24,28,26,,,,,
051588,,,,,,,,,,,
051592,,,,,,,,,,,
051603,ACT,30,28,28,29,29,,,,,
051619,ACT,35,29,30,27,30,,,,,
051706,,,,,,,,,,,
051778,ACT,26,30,23,29,27,,,,,
051793,ACT,21,20,25,24,23,,,,,
051808,ACT,35,31,34,33,33,,,,,
051819,ACT,33,27,35,25,30,,,,,
051823,,,,,,,,,,,
051832,ACT,32,27,36,33,32,,,,,
051847,ACT,20,22,23,21,22,,,,,
051868,,,,,,,,,,,
051896,,,,,,,,,,,
051910,,,,,,,,,,,
051912,,,,,,,,,,,
051922,ACT,35,33,32,33,33,,,,,
051949,,,,,,,,,,,
051962,,,,,,,,,,,
051980,ACT,26,31,31,30,30,,,,,
051991,ACT,21,19,24,23,22,,,,,
051996,ACT,25,30,29,24,26,,,,,
051998,ACT,34,34,33,31,32,,,,,
052017,,,,,,,,,,,
052045,,,,,,,,,,,
052163,,,,,,,,,,,
052166,,,,,,,,,,,
052216,,,,,,,,,,,
052218,ACT,34,30,25,34,31,,,,,
052222,,,,,,,,,,,
052234,,,,,,,,,,,
052238,,,,,,,,,,,
052241,ACT,34,29,31,26,30,,,,,
052248,,,,,,,,,,,
052250,ACT,31,29,32,30,31,,,,,
052254,,,,,,,,,,,
052284,ACT,31,35,35,33,34,,,,,
052303,,,,,,,,,,,
052309,,,,,,,,,,,
052310,,,,,,,,,,,
052323,,,,,,,,,,,
052366,ACT,36,35,35,33,34,,,,,
052371,ACT,22,27,22,25,24,,,,,
052417,,,,,,,,,,,
052429,ACT,27,30,23,25,25,,,,,
052431,ACT,20,21,23,25,22,,,,,
052449,ACT,34,29,32,35,33,,,,,
052454,,,,,,,,,,,
052478,ACT,35,31,31,30,31,,,,,
052488,ACT,32,29,32,34,32,,,,,
052499,ACT,28,24,30,26,27,,,,,
052500,,,,,,,,,,,
052502,ACT,34,31,36,33,34,,,,,
052513,ACT,34,33,33,35,34,,,,,
052514,ACT,27,27,26,34,29,,,,,
052522,ACT,27,31,30,27,29,,,,,
052535,ACT,34,34,29,31,32,,,,,
052537,,,,,,,,,,,
052551,,,,,,,,,,,
052566,ACT,35,34,36,33,35,,,,,
052586,,,,,,,,,,,
052593,ACT,34,35,35,33,34,,,,,
052597,ACT,26,29,29,31,29,,,,,
052616,,,,,,,,,,,
052631,ACT,32,33,33,36,34,,,,,
052647,ACT,23,19,25,18,21,,,,,
052658,ACT,27,27,32,31,29,,,,,
052665,ACT,32,33,30,31,32,,,,,
052680,ACT,31,30,34,28,31,,,,,
052692,,,,,,,,,,,
052696,,,,,,,,,,,
052709,,,,,,,,,,,
052719,ACT,34,34,28,35,30,,,,,
052725,ACT,34,28,30,32,31,,,,,
052729,ACT,28,28,32,30,29,,,,,
052733,ACT,32,34,29,31,30,,,,,
052782,ACT,34,28,30,31,31,,,,,
052785,ACT,28,30,29,28,28,,,,,
052787,,,,,,,,,,,
052817,ACT,28,25,27,23,26,,,,,
052872,ACT,22,27,26,23,25,,,,,
052879,,,,,,,,,,,
052891,ACT,28,24,34,30,29,,,,,
052897,,,,,,,,,,,
052914,ACT,23,27,22,25,24,,,,,
052919,,,,,,,,,,,
052926,,,,,,,,,,,
052931,ACT,32,31,36,36,34,,,,,
052936,ACT,24,33,19,30,26,,,,,
052940,,,,,,,,,,,
052948,ACT,29,28,36,33,31,,,,,
052976,,,,,,,,,,,
052978,,,,,,,,,,,
052980,ACT,35,33,32,35,33,,,,,
053004,ACT,32,30,33,34,32,,,,,
053008,ACT,30,33,30,26,30,,,,,
053018,ACT,36,31,31,33,33,,,,,
053023,ACT,34,32,32,35,32,,,,,
053042,ACT,34,28,33,34,31,,,,,
053046,,,,,,,,,,,
053066,,,,,,,,,,,
053070,ACT,25,31,25,24,26,,,,,
053074,ACT,23,26,30,29,27,,,,,
053095,,,,,,,,,,,
053097,,,,,,,,,,,
053098,,,,,,,,,,,
053099,ACT,18,21,14,18,18,,,,,
053118,ACT,32,29,34,33,32,,,,,
053154,ACT,27,27,33,25,28,,,,,
053156,ACT,33,31,32,35,32,,,,,
053157,ACT,24,28,25,27,26,,,,,
053164,ACT,23,21,21,23,22,,,,,
053167,ACT,33,30,34,28,31,,,,,
053177,ACT,27,28,24,27,27,,,,,
053180,,,,,,,,,,,
053191,ACT,35,34,36,36,35,,,,,
053203,ACT,35,31,35,33,34,,,,,
053219,,,,,,,,,,,
053220,ACT,27,29,35,29,30,,,,,
053232,ACT,21,25,21,23,23,,,,,
053259,,,,,,,,,,,
053271,ACT,27,29,33,31,30,,SAT,590,590,500
053291,ACT,33,32,27,27,29,,,,,
053310,ACT,33,32,34,30,32,,,,,
053313,,,,,,,,,,,
053314,,,,,,,,,,,
053332,,,,,,,,,,,
053337,,,,,,,,,,,
053338,ACT,34,33,30,31,32,,,,,
053346,ACT,21,23,18,22,21,,,,,
053351,ACT,35,33,35,35,34,,,,,
053356,ACT,35,27,24,26,28,,,,,
053365,ACT,32,27,30,32,30,,,,,
053368,,,,,,,,,,,
053375,ACT,29,25,33,30,29,,,,,
053411,ACT,35,32,33,35,34,,,,,
053415,,,,,,,,,,,
053422,ACT,34,28,35,32,32,,,,,
053424,ACT,36,30,35,31,33,,,,,
053436,,,,,,,,,,,
053437,ACT,35,34,35,35,35,,,,,
053438,ACT,36,29,35,32,33,,,,,
053481,ACT,33,27,33,23,29,,,,,
053540,,,,,,,,,,,
053561,ACT,36,35,36,36,36,,,,,
053687,ACT,36,31,30,32,30,,,,,
053697,ACT,33,28,33,31,31,,,,,
053699,,,,,,,,,,,
053738,,,,,,,,,,,
053768,,,,,,,,,,,
053775,,,,,,,,,,,
053792,,,,,,,,,,,
053802,ACT,25,30,22,22,25,,,,,
053828,ACT,35,34,33,35,34,,,,,
053845,ACT,34,30,31,32,30,,,,,
053856,ACT,33,27,32,28,29,,,,,
053886,ACT,31,30,34,30,31,,,,,
053888,ACT,24,27,24,25,25,,,,,
053895,ACT,35,34,35,30,33,,,,,
053900,,,,,,,,,,,
053906,,,,,,,,,,,
053918,ACT,31,35,34,36,34,,,,,
053983,,,,,,,,,,,
053987,,,,,,,,,,,
054001,,,,,,,,,,,
054023,ACT,23,27,22,24,24,,,,,
054058,ACT,28,30,30,31,29,,,,,
054060,ACT,27,28,27,26,27,,,,,
054089,,,,,,,,,,,
054100,ACT,35,36,33,33,34,,,,,
054112,ACT,32,32,35,35,34,,,,,
054114,ACT,22,28,25,23,25,,,,,
054121,ACT,21,29,28,25,26,,,,,
054122,ACT,29,32,28,28,29,,,,,
054123,,,,,,,,,,,
054145,,,,,,,,,,,
054165,ACT,19,31,24,23,24,,,,,
054229,ACT,32,27,31,25,29,,,,,
054236,ACT,33,32,35,31,33,,,,,
054237,ACT,33,34,35,35,34,,,,,
054244,,,,,,,,,,,
054254,ACT,28,34,32,29,31,,,,,
054268,ACT,36,35,35,35,35,,,,,
054270,,,,,,,,,,,
054275,ACT,22,28,32,30,28,,,,,
054292,ACT,24,28,28,29,27,,,,,
054312,ACT,31,31,33,32,30,,,,,
054319,,,,,,,,,,,
054349,ACT,34,31,28,33,32,,,,,
054351,,,,,,,,,,,
054366,,,,,,,,,,,
054367,,,,,,,,,,,
054368,ACT,34,36,31,35,33,,,,,
054378,ACT,23,26,20,25,24,,,,,
054396,ACT,35,27,24,25,28,,,,,
054401,ACT,30,29,34,26,30,,,,,
054410,,,,,,,,,,,
054417,ACT,35,35,35,35,33,,,,,
054427,ACT,32,26,30,23,28,,,,,
054448,ACT,35,32,35,34,34,,,,,
054471,,,,,,,,,,,
054479,ACT,25,29,22,25,25,,,,,
054482,,,,,,,,,,,
054498,ACT,32,27,34,29,29,,,,,
054509,ACT,36,29,32,36,33,,,,,
054524,,,,,,,,,,,
054526,,,,,,,,,,,
054541,,,,,,,,,,,
054558,,,,,,,,,,,
054568,,,,,,,,,,,
054575,,,,,,,,,,,
054599,ACT,33,29,27,30,30,,,,,
054605,,,,,,,,,,,
054608,ACT,24,29,24,25,26,,,,,
054617,,,,,,,,,,,
054623,ACT,24,29,36,33,31,,,,,
054626,ACT,30,28,34,25,29,,,,,
054631,ACT,30,31,32,36,31,,,,,
054666,,,,,,,,,,,
054668,,,,,,,,,,,
054677,ACT,22,26,24,22,24,,,,,
054682,ACT,28,29,24,25,27,,,,,
054730,,,,,,,,,,,
054793,ACT,33,33,28,32,32,,,,,
054802,ACT,25,24,25,24,24,,,,,
