Key,INSTITUTION_TYPE_DESC,INSTITUTION,INSTITUTION_DESC,MathGPA,MathYrTaken,PhysicsGPA,PhysicsYrTaken,CoreGPA,SCHOOL_GPA,SECONDARY_SCHOOL_GRAD_DATE
047130,High School,152400,Twin Lakes High School,,,,,,3.65,5/1/18
047158,High School,101717,C Leon King High School,,,,,,,
047158,High School,221190,Lexington High School,2.86,3,,,3.46,3.55,6/1/18
047159,High School,151041,Fishers High School,3.27,3,,,3.17,3.44,8/1/18
047167,High School,152100,Lewis Cass Junior Senior Hs,4,4,,,3.99,3.99,6/1/18
047193,High School,153900,Zionsville Community Hs,3.43,3.5,,,3.04,3.32,6/1/18
047280,High School,232843,Novi High School,3.84,4,,,3.84,3.84,5/1/18
047285,High School,151651,Roncalli High School,3.72,3,,,3.22,3.38,5/1/18
047305,High School,311585,Westfield High School,3.33,3,,,3.32,3.56,6/1/18
047312,High School,233286,Heritage High School,3.52,3,,,3.68,3.73,5/1/18
047367,High School,242650,Wayzata High School,3.35,1.5,,,3.53,3.62,6/1/18
047388,High School,500723,Germantown High School,3.38,4,,,3.57,3.64,5/1/18
047401,High School,151710,Lawrence Central High School,,,,,,,6/1/18
047404,High School,153485,Indian Creek Senior Hs,3.62,4,,,3.74,3.79,5/1/18
047414,High School,446784,William P Clements High School,3.81,4,,,3.8,3.86,6/1/18
047423,High School,150116,Lakewood Park Christian School,3.69,3.5,,,3.8,3.85,5/1/18
047442,High School,141805,York Community High School,3.33,3,,,3.43,3.61,5/1/18
047446,High School,232882,West Bloomfield High School,4,4,,,3.92,3.93,5/1/18
047487,High School,142545,Illiana Christian High School,3.57,3,,,3.18,3.25,6/1/18
047513,High School,151545,Hobart High School,2.88,4,,,3.34,3.48,6/1/18
047540,High School,151662,Covenant Christian High School,4,3,,,3.69,3.77,5/1/18
047584,High School,152615,Noblesville High School,3.22,3,,,3.48,3.90,6/1/18
047751,High School,232359,Winston Churchill High School,3.51,4,,,3.67,3.73,6/1/18
047764,High School,233040,Notre Dame Preparatory,3.68,3,,,3.74,3.80,5/1/18
047769,High School,150335,Brownsburg High School,3.62,3,,,3.66,3.72,6/1/18
047773,High School,152347,Penn High School,2.57,3,,,3.2,3.40,5/1/18
047775,High School,151647,Avon High School,3.76,4.5,,,3.68,3.76,5/1/18
047787,High School,230327,Seaholm High School,3.51,4,,,3.67,3.77,6/1/18
047791,High School,152380,Monrovia High School,,,,,,3.40,5/1/18
047791,High School,999999,Registrar Obsolete High School,,,,,,,5/10/18
047792,High School,152078,Heritage Hills High School,3.8,4,,,3.92,3.94,5/1/18
047806,High School,141428,Hinsdale South High School,3.45,3,,,3.72,3.80,5/1/18
047819,High School,501631,Eisenhower High School,3.45,5,,,3.5,3.58,6/1/18
047824,High School,221015,Holliston High School,3.35,4,,,3.68,3.74,6/1/18
047826,High School,152347,Penn High School,3.12,4,,,3.41,3.53,5/1/18
047832,High School,180975,Scott County High School,,,,,,4.00,5/29/18
047832,High School,999999,Registrar Obsolete High School,,,,,,,
047841,High School,112618,Blessed Trinity Catholic Hs,2.67,3,,,3.04,3.28,5/1/18
047847,High School,152655,Jennings County High School,3.97,5,,,3.94,3.94,5/1/18
047850,High School,153200,Shelbyville High School,4,5,,,4,4.00,5/1/18
047873,High School,152510,Pike High School,3.8,5,,,3.94,3.95,5/1/18
047883,High School,141044,Mother McAuley High School,3.27,3,,,3.22,3.47,5/1/18
047897,High School,142030,Georgetown-Ridge Farm Hs,3.75,4,,,3.83,3.77,5/1/18
047911,High School,150445,Carmel High School,3.42,3,,,3.7,3.78,6/1/18
047911,High School,UNKHSC,Unknown High School,,,,,,,
047915,High School,140027,Harry D Jacobs High School,3.73,3,,,3.76,3.83,5/1/18
047918,High School,110226,Saint Pius X Catholic Hs,3.95,3,,,3.75,3.81,5/1/18
047929,High School,151910,Jefferson High School,3.6,5,,,3.84,3.89,5/1/18
047930,High School,151710,Lawrence Central High School,3.8,4,,,3.81,3.83,6/1/18
047931,High School,172221,Olathe East High School,,,,,,4.00,5/1/18
047932,High School,150910,Concord High School,4,3.5,,,3.92,3.94,6/1/18
047935,High School,150445,Carmel High School,4,4,,,4,4.00,5/1/18
047947,High School,364090,Perrysburg High School,3.6,4,,,3.76,3.80,5/1/18
047957,High School,152489,Munster High School,3.5,4,,,3.52,3.57,5/1/18
047958,High School,152425,Mooresville High School,4,5,,,3.99,3.99,6/1/18
047971,High School,151075,Gibson Southern Hs,3.84,4,,,3.95,3.96,5/1/18
047979,High School,151660,Cathedral High School,3.9,3,,,3.93,3.95,5/1/18
047999,High School,052267,Canyon High School,3.5,3,,,3.3,3.57,6/1/18
048022,High School,150250,Boonville High School,3.93,5,,,3.85,3.87,5/1/18
048023,High School,230347,International Academy,3.89,4,,,3.94,3.96,5/1/18
048039,High School,151825,South Newton High School,3.33,3,,,3.68,3.80,6/1/18
048057,High School,152365,North White Jr Sr High School,3.66,4,,,3.79,3.67,5/1/18
048072,High School,160686,Prairie High School,3.89,4.5,,,3.8,3.87,5/1/18
048075,High School,393390,Mount Saint Joseph Academy,3.46,5,,,3.79,3.85,6/1/18
048079,High School,151045,Hamilton Southeastern Hs,3.41,4,,,3.64,3.75,6/1/18
048080,High School,361910,Olentangy High School,,,,,,3.72,5/1/18
048084,High School,153735,Westfield High School,3.32,3,,,3.63,3.74,5/1/18
048089,High School,153735,Westfield High School,3.78,3,,,3.65,3.72,5/1/18
048089,High School,260948,Lafayette High School,,,,,,,
048107,High School,110226,Saint Pius X Catholic Hs,3.78,3,,,3.64,3.69,5/1/18
048116,High School,140070,Antioch Community High School,3.78,3,,,3.82,3.85,5/1/18
048120,High School,152347,Penn High School,,,,,,4.00,5/1/18
048237,High School,150336,Bethesda Christian School,2.52,4,,,3.15,3.32,5/1/18
048251,High School,152510,Pike High School,3.48,5,,,3.76,3.80,6/1/18
048259,High School,230329,Brother Rice High School,3.41,4,,,3.35,3.51,5/1/18
048261,High School,153900,Zionsville Community Hs,3.47,3,,,3.35,3.43,6/1/18
048265,High School,153485,Indian Creek Senior Hs,3.96,4,,,3.99,3.99,5/1/18
048303,High School,151669,Herron High School,,,,,,3.47,5/1/18
048306,High School,151660,Cathedral High School,2.88,3,,,2.91,3.28,5/1/18
048313,High School,150920,Edgewood High School,3.4,5,,,3.62,3.70,5/1/18
048322,High School,150335,Brownsburg High School,3.74,5,,,3.66,3.66,5/1/18
048325,High School,153735,Westfield High School,3.92,4,,,3.92,3.94,6/1/18
048343,High School,150960,Francis J Reitz High School,3.9,5,,,3.89,3.92,5/1/18
048353,High School,361595,Saint Charles Prep High School,3.2,3,,,3.2,3.39,6/1/18
048386,High School,150500,Chesterton High School,3.62,4,,,3.82,3.85,5/1/18
048397,High School,471395,McLean High School,4,5,,,3.91,3.93,6/1/18
048397,High School,UNKHSC,Unknown High School,,,,,,,
048415,High School,501728,Oshkosh North High School,4,3,,,3.8,3.86,6/1/18
048439,High School,152615,Noblesville High School,3.68,4,,,3.74,3.80,6/1/18
048443,High School,152489,Munster High School,3.14,4,,,3.52,3.54,6/1/18
048478,High School,152645,Tri West Hendricks High School,4,4,,,3.99,3.97,5/1/18
048496,High School,151315,Goshen High School,,,,,,4.00,5/1/18
048556,High School,151660,Cathedral High School,4,3,,,4,4.00,5/1/18
048559,High School,242103,Mayo High School,3.83,3,,,3.77,3.84,6/1/18
048559,High School,242104,Schaeffer Academy,,,,,,,
048563,High School,153735,Westfield High School,3.33,3,,,3.55,3.67,5/1/18
048567,High School,142663,Montini Catholic High School,3.13,3,,,2.81,3.08,5/1/18
048569,High School,361005,Seven Hills School,3.62,3,,,3.6,3.72,6/1/18
048584,High School,153735,Westfield High School,3.12,3,,,3.59,3.70,5/1/18
048591,High School,102437,Marco Island Academy,,,,,,4.00,5/25/18
048592,High School,310073,Hillsborough High School,3.8,2.75,,,3.34,3.48,6/1/18
048619,High School,153200,Shelbyville High School,3.27,3,,,3.28,3.58,5/1/18
048625,High School,311310,Ridgewood High School,2.9,3,,,3.13,3.43,6/1/18
048644,High School,052698,Saint Francis High School,3.67,3,,,3.25,3.40,5/1/18
048644,High School,052714,Jesuit High School,,,,,,,
048645,High School,150215,Bloomington High School South,4,5.5,,,4,4.00,6/1/18
048655,High School,140447,Buffalo Grove High School,2.25,4,,,3.07,3.33,5/1/18
048664,High School,152045,Tri Junior-Senior High School,2.57,3,,,3.23,3.42,6/1/18
048665,High School,362465,Fairfield High School,,,,,,,
048665,High School,365417,Lakota West High School,3.75,4,,,3.84,3.88,5/1/18
048679,High School,310765,West Morris Mendham Hs,,,,,,3.76,6/1/18
048680,High School,151316,Fairfield Jr-Sr High School,4,4,,,3.99,3.99,6/1/18
048681,High School,210943,Severna Park Senior Hs,,,,,,3.46,5/25/18
048682,High School,150685,Crown Point High School,3.59,4,,,3.64,3.68,6/1/18
048700,High School,153295,Speedway High School,3.46,4,,,3.31,3.51,5/1/18
048703,High School,140340,Central Catholic High School,4,3,,,3.98,3.99,5/1/18
048705,High School,070887,Conard High School,3.11,4,,,3.36,3.42,6/1/18
048706,High School,151651,Roncalli High School,,,,,,4.00,5/1/17
048717,High School,140534,Glenbard North High School,,,,,,4.00,5/1/18
048730,High School,400239,Pilgrim High School,,,,,,4.00,5/1/18
048741,High School,181510,Assumption High School,,,,,,3.98,5/1/18
048766,High School,070008,Avon High School,3.78,3,,,3.5,3.55,6/1/18
048891,High School,151045,Hamilton Southeastern Hs,3.24,4,,,3.02,3.30,7/1/18
048925,High School,152613,Blessed Theodore Guerin Hs,3.75,3,,,3.46,3.46,6/1/18
048938,High School,100466,Lake Brantley High School,4,6,,,3.97,3.98,5/1/18
048948,High School,334515,Tappan Zee High School,3.35,4,,,3.46,3.66,6/1/18
048967,High School,050845,El Segundo High School,4,3,,,3.93,3.93,6/1/18
048989,High School,151647,Avon High School,3.46,4,,,3.15,3.40,5/1/18
048993,High School,153900,Zionsville Community Hs,2.9,3,,,2.8,3.04,6/1/18
048998,High School,544440,Colegio San Jose,3.67,3,,,3.44,3.58,5/1/18
049005,High School,151647,Avon High School,3.38,4.5,,,3.43,3.59,5/1/18
049012,High School,151910,Jefferson High School,4,5,,,4,4.00,5/1/18
049026,High School,150290,Bremen Senior High School,3.38,4,,,3.5,3.65,6/1/18
049027,High School,150685,Crown Point High School,2.92,4,,,3.37,3.51,6/1/18
049045,High School,151915,Harrison High School,3,3,,,3.67,3.79,5/1/18
049047,High School,502269,Homestead High School,3.5,3,,,3.47,3.68,6/1/18
049053,High School,151416,East Central High School,4,3,,,3.99,4.00,6/1/18
049064,High School,143705,Harlem Senior High School,4,4,,,3.94,3.95,5/1/18
049070,High School,151647,Avon High School,3.12,3,,,2.88,3.87,5/1/18
049071,High School,471122,Faith Christian Academy,,,,,,,
049071,High School,471302,Liberty Christian Academy,3.85,3,,,3.64,3.80,5/1/18
049090,High School,151041,Fishers High School,3.88,4,,,3.75,3.78,6/1/18
049111,High School,150685,Crown Point High School,,,,,,4.00,6/1/18
049144,High School,151647,Avon High School,3.92,4,,,3.79,3.84,5/1/18
049153,High School,220700,Duxbury High School,2.98,3,,,3.2,3.28,5/1/18
049172,High School,151647,Avon High School,3.76,4.5,,,3.69,3.76,5/1/18
049181,High School,151647,Avon High School,4,4.5,,,3.94,3.95,5/1/18
049189,High School,151752,Southport High School,3.85,3,,,3.87,3.91,5/1/18
049189,High School,153175,Seymour High School,,,,,,,
049212,High School,260728,Columbia-Rock Bridge Senior Hs,3.91,3.5,,,3.9,3.91,5/1/18
049217,High School,151647,Avon High School,3.36,5.5,,,3.24,3.39,5/1/18
049221,High School,153795,Whiteland Community Hs,3.05,4,,,3.26,3.44,5/1/18
049226,High School,152032,Western Boone Jr-Sr Hs,2.88,4,,,3.07,3.28,5/1/18
049227,High School,152343,Marian High School,3.95,3,,,3.72,3.81,6/1/18
049229,High School,910042,American School Of Brasilia,,,,,,,6/1/18
049256,High School,151915,Harrison High School,2.38,3,,,2.97,3.28,5/1/18
049358,High School,151647,Avon High School,,,,,,3.80,5/1/18
049362,High School,261220,Grain Valley High School,3.97,5,,,3.94,3.94,5/1/18
049389,High School,925808,Colegio Bilingue De Santa Mart,4,3,,,3.99,4.00,6/1/18
049396,High School,152225,Martinsville High School,3.76,5.5,,,3.58,3.69,5/1/18
049427,High School,151647,Avon High School,2.7,4,,,2.92,3.16,5/1/18
049433,High School,142300,Hinsdale Central High School,3.1,3,,,3.23,3.41,5/1/18
049435,High School,151416,East Central High School,3.96,4,,,3.99,3.99,6/1/18
049462,High School,310787,John P Stevens High School,3.1,3,,,3.43,3.40,6/1/18
049479,High School,151041,Fishers High School,3.42,4,,,3.76,3.80,5/1/17
049590,High School,150462,Hanover Central High School,3.61,5,,,3.74,3.77,6/1/18
049593,High School,472110,Freedom High School,,,,,,,
049593,High School,472179,Lcps Academy Of Science,3.72,6,,,3.5,3.60,6/1/18
049616,High School,151350,Greenfield Central High School,2.97,3,,,3.55,3.66,5/1/18
049618,High School,151906,Central Catholic Junior-Senior,,,,,,,
049618,High School,151936,McCutcheon High School,4,3,,,4,4.00,5/1/18
049620,High School,151660,Cathedral High School,3.38,4,,,3.44,3.58,5/1/18
049622,High School,150910,Concord High School,4,4,,,3.98,3.97,6/1/18
049625,High School,141860,Evanston Township High School,3.4,3,,,3.72,3.77,6/1/18
049633,High School,051330,Bishops School,3.98,4,,,3.74,3.73,6/1/18
049633,High School,334090,Trinity School,,,,,,,
049640,High School,153900,Zionsville Community Hs,3.21,5,,,3.33,3.48,6/1/18
049653,High School,153890,Yorktown High School,4,4,,,3.92,3.94,6/1/18
049654,High School,053503,Westlake High School,3.22,3,,,3.28,3.43,6/1/18
049663,High School,151045,Hamilton Southeastern Hs,3.74,5,,,3.72,3.80,6/1/18
049687,High School,150165,Bedford-North Lawrence Hs,3.84,4,,,3.96,3.97,5/1/18
049689,High School,143455,Peotone High School,,,,,,4.00,5/1/18
049691,High School,143270,O Fallon Township High School,3.33,3,,,3.66,3.69,5/1/18
049713,High School,151045,Hamilton Southeastern Hs,,,,,,3.80,6/1/18
049719,High School,300180,Exeter High School,3.68,4,,,3.7,3.77,6/1/18
049734,High School,142485,Nazareth Academy,3.73,5,,,3.45,3.58,5/1/18
049735,High School,260591,Marquette High School,3.68,4,,,3.58,3.63,5/1/18
049744,High School,151315,Goshen High School,4,5.5,,,4,4.00,6/1/18
049746,High School,230013,Lenawee Christian School,3.85,9.5,,,3.84,3.84,5/1/18
049753,High School,151915,Harrison High School,3.88,4,,,3.91,3.92,5/1/18
049763,High School,231255,Dexter High School,2.42,4,,,2.7,2.92,5/1/18
049796,High School,361525,Columbus Academy,3.25,3,,,3.36,3.56,6/1/18
049806,High School,151315,Goshen High School,,,,,,3.26,6/1/18
049807,High School,150335,Brownsburg High School,3.94,5,,,3.89,4.00,6/1/18
049933,High School,101059,Belen Jesuit Preparatory Sch,,,,,,3.73,5/23/18
049950,High School,142545,Illiana Christian High School,3.96,3.5,,,3.91,3.93,6/1/18
049988,High School,153260,John Adams High School,3.8,4,,,3.9,3.92,6/1/18
049988,High School,UNKHSC,Unknown High School,,,,,,,
049999,High School,231685,Catholic Central High School,4,3,,,3.99,3.99,5/1/18
050007,High School,500723,Germantown High School,3.62,3,,,3.55,3.68,5/1/18
050041,High School,153745,West Lafayette Jr-Sr Hs,3.54,4,,,3.48,3.85,5/1/18
050052,High School,151041,Fishers High School,3.19,4,,,3.34,3.46,6/1/18
050072,High School,153735,Westfield High School,3.04,4,,,3.35,3.47,5/1/18
050095,High School,151936,McCutcheon High School,3.52,5,,,3.63,3.69,5/1/18
050096,High School,153735,Westfield High School,3.46,4,,,3.23,3.33,5/1/18
050099,High School,151660,Cathedral High School,2.95,3,,,3.35,3.52,5/1/18
050103,High School,153260,John Adams High School,,,,,,3.23,6/1/18
050108,High School,152615,Noblesville High School,3.92,4,,,3.82,3.89,5/1/18
050111,High School,150668,North Montgomery High School,4,4,,,4,4.00,5/1/18
050120,High School,151650,Ben Davis High School,4,5,,,3.98,3.98,6/1/18
050131,High School,310752,Marlboro High School,2.8,3,,,2.75,2.88,6/1/18
050141,High School,152613,Blessed Theodore Guerin Hs,3.28,3,,,3.6,3.72,6/1/18
050143,High School,151045,Hamilton Southeastern Hs,3.52,4.5,,,3.5,3.52,6/1/18
050152,High School,220065,Ashland High School,3.87,3,,,3.75,3.76,6/1/18
050156,High School,151045,Hamilton Southeastern Hs,3.61,4,,,3.8,3.82,5/1/18
050182,High School,150270,Triton Junior-Senior Hs,4,4,,,4,4.00,5/1/18
050192,High School,151041,Fishers High School,4,4,,,3.98,3.99,6/1/18
050218,High School,152560,New Palestine High School,4,4,,,3.98,3.99,5/1/18
050222,High School,151710,Lawrence Central High School,3.18,4,,,3.38,3.51,6/1/18
050232,High School,335090,Scarsdale High School,3.15,4,,,3.26,3.38,6/1/18
050234,High School,151915,Harrison High School,2.88,4,,,3.13,3.36,5/1/18
050239,High School,153890,Yorktown High School,3.19,4,,,3.59,3.68,6/1/18
050305,High School,151660,Cathedral High School,3.35,3,,,3.62,4.00,5/1/18
050350,High School,151650,Ben Davis High School,3.95,3,,,3.5,3.49,6/1/18
050378,High School,343210,Enloe Magnet High School,3.48,5,,,3.33,4.00,6/1/18
050386,High School,141815,Elmwood Park High School,3.78,2,,,3.44,3.58,5/1/18
050428,High School,151103,Homestead High School,3.87,5,,,3.79,3.83,5/1/18
050436,High School,151936,McCutcheon High School,3.25,4,,,3.33,3.48,6/1/18
050443,High School,140070,Antioch Community High School,3.57,3,,,3.68,3.74,5/1/18
050446,High School,101059,Belen Jesuit Preparatory Sch,3.43,3,,,3.41,3.58,5/1/18
050457,High School,501350,Divine Savior-Holy Angels Hs,3.03,3,,,3.09,3.38,5/1/18
050461,High School,151045,Hamilton Southeastern Hs,2.72,6,,,2.87,3.02,6/1/18
050462,High School,150165,Bedford-North Lawrence Hs,4,5,,,4,4.00,5/1/18
050462,High School,UNKHSC,Unknown High School,,,,,,,
050487,High School,341603,Northern Guilford High School,3.77,3,,,3.48,3.56,6/1/18
050529,High School,391033,Downingtown West,,,,,,,
050529,High School,391341,Downingtown Hs East Campus,3.5,4,,,3.44,3.57,6/1/18
050533,High School,231802,Grosse Pointe South Hs,3.52,3,,,3.54,3.72,6/1/18
050544,High School,470103,Bishop O'Connell High School,3.67,3,,,3.67,3.77,5/1/18
050557,High School,150685,Crown Point High School,3.18,3,,,3.03,3.17,5/1/18
050573,High School,152613,Blessed Theodore Guerin Hs,3.9,3,,,3.89,3.92,5/1/18
050578,High School,441740,Highland Park High School,2.95,4,,,3.16,3.44,5/1/18
050579,High School,151910,Jefferson High School,4,3,,,3.98,3.98,5/1/18
050583,High School,153177,Trinity Lutheran High School,4,3,,,4,4.00,5/1/18
050597,High School,142320,Huntley High School,3.62,3,,,3.57,3.69,5/1/18
050598,High School,152615,Noblesville High School,3.28,3,,,3.8,3.86,6/1/18
050600,High School,333150,Chaminade High School,,,,,,3.84,6/1/18
050633,High School,150215,Bloomington High School South,4,5.5,,,3.97,3.97,6/1/18
050639,High School,152225,Martinsville High School,,,,,,4.00,5/1/18
050682,High School,151647,Avon High School,3.68,4,,,3.64,3.68,5/1/18
050690,High School,142483,Lyons Township High School,3.02,4,,,3.27,3.44,6/1/18
050692,High School,153735,Westfield High School,3.27,3,,,3.56,3.70,5/1/18
050692,High School,UNKHSC,Unknown High School,,,,,,,
050700,High School,143550,Adlai E Stevenson High School,3.35,3,,,3.52,3.62,5/1/18
050770,High School,231023,Renaissance High School,4,3,,,4,4.00,6/1/18
050797,High School,151045,Hamilton Southeastern Hs,3.84,5,,,3.93,3.92,5/1/18
050798,High School,150970,Mater Dei High School,3.75,4,,,3.79,3.86,5/1/18
050809,High School,150025,Alexandria Monroe High School,4,3.5,,,3.99,3.99,5/1/18
050820,High School,232825,North Muskegon Public Hs,,,,,,,5/1/18
050821,High School,232582,Herbert Henry Dow High School,3.96,4,,,3.96,3.97,5/1/18
050833,High School,070342,Ledyard High School,,,,,,,
050833,High School,472287,Floyd E Kellam High School,3.75,4,,,3.66,3.70,6/1/18
050857,High School,310272,Randolph High School,3,3,,,3.42,3.68,6/1/18
050864,High School,150145,Batesville High School,,,,,,,
050864,High School,152474,Indiana Ac Sci/Math/Humanities,3.97,5,,,3.9,3.91,5/1/18
050864,High School,UNKHSC,Unknown High School,,,,,,,
050870,High School,363430,Milford High School,3.9,5,,,3.89,3.91,5/1/18
050891,High School,151390,Center Grove High School,3.64,4,,,3.68,3.77,5/1/18
050897,High School,150220,Bloomington High School North,3.51,4,,,3.77,3.82,5/1/18
050906,High School,151045,Hamilton Southeastern Hs,4,3,,,3.94,3.96,6/1/18
050926,High School,311593,West Milford Township Hs,1.92,4,,,2.55,2.99,6/1/18
050930,High School,144380,Wheaton-Warrenville South Hs,3.67,3,,,3.65,3.72,5/1/18
050935,High School,180855,Highlands High School,3.83,1.5,,,3.66,3.74,5/1/18
050942,High School,153745,West Lafayette Jr-Sr Hs,4,4,,,3.97,3.98,5/1/18
050946,High School,151936,McCutcheon High School,3,3,,,3.47,3.60,6/1/18
050957,High School,151651,Roncalli High School,3.33,3,,,3.42,3.58,5/1/18
050960,High School,152105,Loogootee Junior Senior Hs,,,,,,3.52,5/1/18
050978,High School,051315,Acalanes High School,2.9,3,,,3.4,3.60,6/1/18
050993,High School,447644,Woodlands Christian Academy,3.05,4,,,3.38,3.54,5/1/18
051009,High School,150669,Southmont High School,3.9,3,,,3.78,3.81,5/1/18
051013,High School,140510,Carbondale Community Hs,4,3,,,3.97,3.97,5/1/18
051023,High School,151724,Perry Meridian High School,3.71,5,,,3.63,3.66,5/1/18
051032,High School,153735,Westfield High School,3.68,3,,,3.87,3.92,5/1/18
051034,High School,697012,Dubai American Academy,3.52,3,,,3.67,3.72,6/1/18
051036,High School,233483,Spring Lake High School,3.93,7,,,3.91,3.93,5/1/18
051047,High School,151391,Greenwood Christian Academy,4,4,,,3.99,3.99,5/1/18
051068,High School,233603,Troy High School,3.42,5,,,3.8,3.85,5/1/18
051077,High School,472415,Walsingham Academy,3.5,3,,,3.7,3.79,5/1/18
051087,High School,480698,Mercer Island High School,2.78,3,,,3.31,3.42,6/1/18
051102,High School,152115,Lowell High School,3.97,5,,,3.99,4.00,6/1/18
051108,High School,150610,Columbus North High School,3.92,4,,,3.81,3.87,5/1/18
051234,High School,150915,Elkhart Central High School,2.88,2.5,,,2.92,3.22,5/1/18
051260,High School,310753,Bridgewater-Raritan Rgnl Hs,3.33,3,,,3.34,3.34,6/1/18
051265,High School,842200,Carol Morgan School,3.41,3.5,,,3.38,3.36,6/1/18
051265,High School,900150,Asociacion Escuelas Lincoln,,,,,,,
051268,High School,151045,Hamilton Southeastern Hs,3.87,5,,,3.89,3.93,6/1/18
051271,High School,390500,Butler Area Sr High School,3.67,6,,,3.84,3.88,6/1/18
051286,High School,152347,Penn High School,3.9,3,,,3.85,3.86,5/1/18
051290,High School,110797,Woodward Academy,3.83,3,,,3.6,3.67,5/1/18
051295,High School,101131,Our Lady Of Lourdes Academy,4,4,,,3.63,3.65,5/1/18
051314,High School,153430,Terre Haute South Vigo Hs,,,,,,3.92,6/1/18
051315,High School,143201,Normal Community West Hs,4,4,,,4,4.00,5/1/18
051316,High School,392122,Veritas Scholars Academy,2,4,,,2.74,2.81,5/1/18
051317,High School,152115,Lowell High School,2.71,4,,,3.42,3.57,5/1/18
051320,High School,150565,South Vermillion High School,4,4,,,4,3.99,5/1/18
051334,High School,012648,Sparkman High School,,,,,,4.00,5/22/18
051336,High School,151045,Hamilton Southeastern Hs,4,4,,,3.98,3.98,6/1/18
051346,High School,151915,Harrison High School,3.62,4,,,3.87,3.91,6/1/18
051347,High School,140251,Althoff Catholic High School,4,3,,,4,4.00,5/1/18
051361,High School,150445,Carmel High School,3.6,5,,,3.82,3.85,5/1/18
051367,High School,231717,East Kentwood High School,3.57,4.5,,,3.84,3.88,5/1/18
051367,High School,UNKHSC,Unknown High School,,,,,,,
051375,High School,152510,Pike High School,3.17,5,,,3.22,3.36,5/1/18
051389,High School,153112,Lake Central High School,2.94,4,,,3.09,3.35,6/1/18
051396,High School,143550,Adlai E Stevenson High School,3.63,3,,,3.55,3.19,5/1/18
051398,High School,150445,Carmel High School,3.25,4,,,3.4,3.54,6/1/18
051431,High School,152900,Jay County High School,3.97,3,,,3.99,4.00,6/1/18
051466,High School,143796,Saint Charles North Hs,3.5,3,,,3.36,3.55,6/1/18
051467,High School,151717,North Central High School,3.57,3,,,3.61,3.64,5/1/18
051470,High School,101131,Our Lady Of Lourdes Academy,3.2,4,,,3.7,3.75,5/1/18
051475,High School,151175,Franklin Community High School,,,,,,4.00,5/1/18
051478,High School,153065,Rossville Middle Hs,3.37,5,,,3.17,3.35,5/1/18
051484,High School,341924,Porter Ridge Hs,3.91,3.5,,,3.89,3.91,6/1/18
051497,High School,334715,Rhinebeck Central School,3.9,3,,,3.54,3.67,6/1/18
051507,High School,151315,Goshen High School,3.7,4,,,3.87,4.00,6/1/18
051524,High School,151045,Hamilton Southeastern Hs,3.23,3,,,3.51,3.59,6/1/18
051535,High School,361020,Indian Hill High School,3.9,3,,,3.86,3.91,6/1/18
051574,High School,151395,Greenwood Community Hs,3.45,5,,,3.55,3.62,5/1/17
051578,High School,231900,Hartland High School,3.64,4,,,3.79,3.82,6/1/18
051578,High School,UNKHSC,Unknown High School,,,,,,,
051583,High School,152347,Penn High School,4,4,,,3.73,3.81,5/1/18
051588,High School,510395,Sheridan High School,3.92,4,,,3.94,3.96,6/1/18
051592,High School,151645,Arsenal Technical High School,2.46,4,,,2.74,2.73,6/1/18
051592,High School,UNKHSC,Unknown High School,,,,,,,
051603,High School,152613,Blessed Theodore Guerin Hs,4,3.5,,,4,4.00,6/1/18
051619,High School,150215,Bloomington High School South,,,,,,3.49,5/25/18
051706,High School,999999,Registrar Obsolete High School,,,,,,,6/16/17
051778,High School,151084,Blackhawk Christian Hs,3.69,4,,,3.61,3.69,6/1/18
051793,High School,151724,Perry Meridian High School,3.3,4,,,3.16,3.39,5/1/18
051808,High School,260129,Parkway South High School,4,3,,,3.45,3.45,5/1/18
051819,High School,151915,Harrison High School,2.88,4,,,3.46,3.59,6/1/18
051823,High School,153112,Lake Central High School,3.75,4,,,3.49,3.64,1/1/18
051832,High School,153745,West Lafayette Jr-Sr Hs,2.83,3,,,3.42,3.57,5/1/18
051847,High School,152852,Plainfield High School,3.21,4,,,3.06,3.28,5/1/18
051868,High School,151045,Hamilton Southeastern Hs,3.73,3,,,3.59,3.61,6/1/18
051896,High School,030396,Desert Mountain High School,3.67,3,,,3.82,3.86,5/1/18
051910,High School,152852,Plainfield High School,3.9,3,,,3.64,3.73,5/1/18
051912,High School,150215,Bloomington High School South,3.76,4.5,,,3.79,3.85,6/1/18
051922,High School,361125,Ursuline Academy,3,4,,,3.65,3.79,5/1/18
051949,High School,950292,Ued Los Arcos,,,,,,3.70,7/1/18
051962,High School,150215,Bloomington High School South,3.79,5.5,,,3.53,3.61,5/1/18
051980,High School,070965,Amity Regional High School,2.9,3,,,3.05,3.10,6/1/18
051991,High School,151915,Harrison High School,,,,,,3.00,5/4/18
051996,High School,150960,Francis J Reitz High School,3.9,5,,,3.87,3.90,5/1/18
051998,High School,151045,Hamilton Southeastern Hs,3.4,3,,,3.78,3.87,6/1/18
052017,High School,230088,Pioneer High School,3.42,4,,,3.81,3.84,6/1/18
052045,High School,152852,Plainfield High School,4,4,,,3.72,3.80,5/1/18
052163,High School,151350,Greenfield Central High School,3.87,5,,,3.97,3.97,6/1/18
052166,High School,151717,North Central High School,3.07,3,,,3.58,3.67,6/1/18
052216,High School,151650,Ben Davis High School,2.83,5,,,3.08,3.33,6/1/18
