PUID_SIX,High_School,High_School_Name,High_School_Grad_Date,High_School_Graduation_Year,High_School_GPA,SUBJECT,SUBJECT_DESC,YEARS_TAKEN,GRADE,GPA
230282,153850,Winchester Community Hs,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,3,,4.00
230318,153112,Lake Central High School,"May 1, 2020",2020,3.51,MATH,Academic Math TOTAL,4,,3.04
230350,140240,Beecher High School,"May 1, 2020",2020,3.89,MATH,Academic Math TOTAL,3,,3.95
230514,252223,Center Hill High School,"May 1, 2020",2020,3.98,MATH,Academic Math TOTAL,4,,3.92
230516,310005,North Hunterdon High School,"June 1, 2020",2020,3.64,MATH,Academic Math TOTAL,4,,3.25
230519,310742,Mahwah High School,"June 1, 2020",2020,3.69,MATH,Academic Math TOTAL,3,,3.33
230542,141517,Crystal Lake South High School,"May 1, 2020",2020,3.28,MATH,Academic Math TOTAL,3,,3.17
230543,153355,Sullivan High School,"May 1, 2020",2020,3.75,MATH,Academic Math TOTAL,6,,3.69
230561,150203,Eastern Greene High School,"May 1, 2019",2019,4,MATH,Academic Math TOTAL,5,,4.00
230570,151915,Harrison High School,"May 1, 2020",2020,3.5,MATH,Academic Math TOTAL,4,,2.25
230577,221615,North Andover High School,"June 1, 2020",2020,3.91,MATH,Academic Math TOTAL,13.5,,3.90
230586,150215,Bloomington High School South,"May 1, 2020",2020,3.82,MATH,Academic Math TOTAL,7,,3.84
230591,152170,Madison Consolidated Hs,"May 1, 2020",2020,3.77,MATH,Academic Math TOTAL,4,,3.76
230598,260593,Parkway Central High School,"May 1, 2020",2020,3.65,MATH,Academic Math TOTAL,4,,3.26
230608,152560,New Palestine High School,"May 1, 2020",2020,3.94,MATH,Academic Math TOTAL,5,,3.94
230622,150445,Carmel High School,"June 1, 2020",2020,3.89,MATH,Academic Math TOTAL,4,,3.58
230646,151041,Fishers High School,"May 1, 2020",2020,3.7,MATH,Academic Math TOTAL,4,,3.32
230672,151752,Southport High School,"May 1, 2020",2020,3.52,MATH,Academic Math TOTAL,5,,3.12
230683,150445,Carmel High School,"May 1, 2020",2020,3.69,MATH,Academic Math TOTAL,3,,3.57
230690,151041,Fishers High School,"May 1, 2020",2020,3.99,MATH,Academic Math TOTAL,6,,3.94
230692,150977,North High School,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,3,,4.00
230702,310825,Moorestown High School,"June 1, 2020",2020,3.63,MATH,Academic Math TOTAL,3,,3.67
230717,232656,Lutheran High School North,"June 1, 2020",2020,4,MATH,Academic Math TOTAL,3,,4.00
230737,140212,Batavia High School,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,2,,4.00
230752,151647,Avon High School,"May 1, 2020",2020,3.78,MATH,Academic Math TOTAL,5.5,,3.69
230762,151647,Avon High School,"May 1, 2020",2020,3.58,MATH,Academic Math TOTAL,3.5,,3.54
230771,143550,Adlai E Stevenson High School,"May 1, 2020",2020,3.55,MATH,Academic Math TOTAL,3,,3.68
230782,142955,Moline Senior High School,"May 1, 2020",2020,3.96,MATH,Academic Math TOTAL,4,,3.89
230785,233630,Utica High School,"June 1, 2020",2020,3.92,MATH,Academic Math TOTAL,4,,3.95
230789,153485,Indian Creek Senior Hs,"May 1, 2020",2020,3.51,MATH,Academic Math TOTAL,3,,3.43
230792,152310,Milan High School,"May 1, 2019",2019,3.85,MATH,Academic Math TOTAL,4,,3.92
230799,150335,Brownsburg High School,"June 1, 2020",2020,3.66,MATH,Academic Math TOTAL,3,,3.57
230814,140252,Belleville High School East,"May 1, 2020",2020,3.83,MATH,Academic Math TOTAL,3,,4.00
230815,400128,Portsmouth High School,"June 1, 2020",2020,3.96,MATH,Academic Math TOTAL,3,,3.90
230818,393745,North Allegheny Senior Hs,"June 1, 2020",2020,3.91,MATH,Academic Math TOTAL,3,,4.00
230819,150565,South Vermillion High School,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,4,,4.00
230829,390530,Canon-Mcmillan High School,"June 1, 2020",2020,3.75,MATH,Academic Math TOTAL,5,,3.40
230830,430367,Rossview High School,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,4,,4.00
230834,144387,Wheeling High School,"May 1, 2020",2020,3.39,MATH,Academic Math TOTAL,2.5,,2.80
230943,240708,Edina High School,"May 1, 2020",2020,3.35,MATH,Academic Math TOTAL,3,,3.15
231015,472178,Dominion High School,"August 1, 2020",2020,,,,,,
231065,150910,Concord High School,"June 1, 2020",2020,3.84,MATH,Academic Math TOTAL,4,,3.54
231078,151752,Southport High School,"May 1, 2020",2020,3.69,MATH,Academic Math TOTAL,4,,3.46
231081,150220,Bloomington High School North,"May 1, 2020",2020,3.95,MATH,Academic Math TOTAL,3,,3.95
231084,052192,College Preparatory School,"June 1, 2020",2020,3.4,MATH,Academic Math TOTAL,3,,3.72
231090,153735,Westfield High School,"May 1, 2020",2020,3.46,MATH,Academic Math TOTAL,3,,3.18
231103,153665,Franklin Central High School,"June 1, 2020",2020,3.79,MATH,Academic Math TOTAL,3,,3.67
231106,152489,Munster High School,"June 1, 2020",2020,3.76,MATH,Academic Math TOTAL,4,,3.50
231133,151368,North Decatur Junior-Senior Hs,"June 1, 2020",2020,3.64,MATH,Academic Math TOTAL,4,,3.88
231134,210501,Liberty High School,"June 1, 2020",2020,4,MATH,Academic Math TOTAL,5,,4.00
231143,151724,Perry Meridian High School,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,5,,4.00
231183,152965,Richmond High School,"May 1, 2020",2020,3.7,MATH,Academic Math TOTAL,3,,3.17
231191,331437,Cold Spring Harbor High School,"June 1, 2020",2020,3.71,MATH,Academic Math TOTAL,6,,3.78
231199,150685,Crown Point High School,"June 1, 2020",2020,4,MATH,Academic Math TOTAL,5,,4.00
231232,400093,Ponaganset High School,"June 1, 2020",2020,3.95,MATH,Academic Math TOTAL,3,,3.89
231251,UNKHSC,Unknown High School,"June 1, 2017",2017,,,,,,
231285,151045,Hamilton Southeastern Hs,"May 1, 2020",2020,3.31,MATH,Academic Math TOTAL,4,,3.01
231367,153900,Zionsville Community Hs,"May 1, 2020",2020,3.9,MATH,Academic Math TOTAL,3,,3.88
231381,151585,Carroll High School,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,5,,4.00
231392,142075,Glenbard West High School,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,3,,4.00
231409,153900,Zionsville Community Hs,"May 1, 2020",2020,3.59,MATH,Academic Math TOTAL,3,,3.62
231412,153030,South Spencer High School,"May 1, 2020",2020,3.62,MATH,Academic Math TOTAL,6,,3.95
231435,051514,The Kings Academy,"May 1, 2020",2020,3.84,MATH,Academic Math TOTAL,3,,3.90
231436,141631,South High School,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,3,,4.00
231461,151075,Gibson Southern Hs,"May 1, 2020",2020,3.9,MATH,Academic Math TOTAL,4,,3.70
231465,151660,Cathedral High School,"May 1, 2020",2020,3.63,MATH,Academic Math TOTAL,3,,3.22
231481,151651,Roncalli High School,"May 1, 2020",2020,3.65,MATH,Academic Math TOTAL,3,,3.95
231511,153865,Tri-County Middle-senior Hs,"May 1, 2020",2020,3.7,MATH,Academic Math TOTAL,5,,3.20
231516,240423,Chaska High School,"June 1, 2020",2020,3.77,MATH,Academic Math TOTAL,3.5,,3.59
231599,152285,Marquette Catholic High School,"June 1, 2020",2020,3.76,MATH,Academic Math TOTAL,3,,3.67
231662,150490,Charlestown High School,"June 1, 2020",2020,4,MATH,Academic Math TOTAL,3,,4.00
231663,150695,Culver Academies,"May 1, 2020",2020,3.82,MATH,Academic Math TOTAL,2,,3.92
231677,862300,American School of Tegucigalpa,"May 1, 2020",2020,3.81,MATH,Academic Math TOTAL,3.5,,3.39
231690,141122,Lindblom Math And Science Acad,"June 1, 2020",2020,2.98,MATH,Academic Math TOTAL,3,,2.00
231691,152400,Twin Lakes High School,"May 1, 2020",2020,3.89,MATH,Academic Math TOTAL,4,,3.75
231698,151716,Lutheran Hs Indianapolis,"May 1, 2020",2020,3.39,MATH,Academic Math TOTAL,4,,2.88
231710,153415,Terre Haute North Vigo Hs,"May 1, 2020",2020,3.86,MATH,Academic Math TOTAL,4,,3.70
231733,151045,Hamilton Southeastern Hs,"May 1, 2020",2020,3.74,MATH,Academic Math TOTAL,4,,3.46
231756,500281,Brookfield East High School,"June 1, 2020",2020,3.85,MATH,Academic Math TOTAL,3,,4.00
231760,151075,Gibson Southern Hs,"May 1, 2020",2020,3.99,MATH,Academic Math TOTAL,4,,3.96
231769,151075,Gibson Southern Hs,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,4,,4.00
231770,140212,Batavia High School,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,2,,4.00
231871,140325,Bismarck-Henning High School,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,4,,4.00
231873,030651,Anthem Preparatory Academy,"May 1, 2020",2020,3.86,MATH,Academic Math TOTAL,3,,3.73
231934,446784,William P Clements High School,"May 1, 2020",2020,3.4,MATH,Academic Math TOTAL,4,,3.55
231935,394040,Plymouth-Whitemarsh HS,"June 1, 2020",2020,3.66,MATH,Academic Math TOTAL,2.5,,3.46
231940,152520,New Prairie High School,"May 1, 2020",2020,3.09,MATH,Academic Math TOTAL,3,,2.67
231942,150445,Carmel High School,"May 1, 2020",2020,3.85,MATH,Academic Math TOTAL,4,,3.75
231972,150900,South Central Junior-Senior Hs,"June 1, 2020",2020,3.66,MATH,Academic Math TOTAL,4,,3.71
231996,153177,Trinity Lutheran High School,"May 1, 2020",2020,3.97,MATH,Academic Math TOTAL,3,,4.00
232010,242650,Wayzata High School,"May 1, 2020",2020,3.84,MATH,Academic Math TOTAL,2,,3.71
232018,152615,Noblesville High School,"June 1, 2020",2020,3.68,MATH,Academic Math TOTAL,5,,3.24
232024,310566,Holmdel High School,"June 1, 2020",2020,3.9,MATH,Academic Math TOTAL,3,,3.77
232031,361795,Chaminade Julienne High School,"May 1, 2020",2020,3.75,MATH,Academic Math TOTAL,4,,3.75
232032,220077,Bishop Feehan High School,"June 1, 2020",2020,3.95,MATH,Academic Math TOTAL,3,,3.89
232046,150445,Carmel High School,"May 1, 2020",2020,3.72,MATH,Academic Math TOTAL,5,,3.44
232051,140187,Metea Valley High School,"May 1, 2020",2020,3.79,MATH,Academic Math TOTAL,3,,3.67
232059,060515,Cherry Creek High School,"May 1, 2020",2020,3.72,MATH,Academic Math TOTAL,3,,3.67
232062,233045,Salem High School,"June 1, 2020",2020,3.57,MATH,Academic Math TOTAL,5,,2.96
232065,151990,La Porte High School,"June 1, 2020",2020,3.8,MATH,Academic Math TOTAL,4,,3.84
232075,151651,Roncalli High School,"May 1, 2020",2020,3.6,MATH,Academic Math TOTAL,3,,3.55
232121,151875,Kokomo High School,"May 1, 2020",2020,3.74,MATH,Academic Math TOTAL,4,,3.71
232387,151752,Southport High School,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,4,,4.00
232421,151590,Southridge High School,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,4,,4.00
232500,070887,Conard High School,"June 1, 2020",2020,3.55,MATH,Academic Math TOTAL,3,,3.52
232623,151716,Lutheran Hs Indianapolis,"May 1, 2020",2020,3.83,MATH,Academic Math TOTAL,4,,3.75
232627,150335,Brownsburg High School,"June 1, 2020",2020,4,MATH,Academic Math TOTAL,3,,4.00
232629,363750,New Philadelphia High School,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,4,,4.00
232632,151390,Center Grove High School,"May 1, 2020",2020,3.78,MATH,Academic Math TOTAL,3,,3.23
232647,152966,Seton Catholic High School,"May 1, 2020",2020,3.86,MATH,Academic Math TOTAL,4,,3.79
232685,150608,Columbus East High School,"May 1, 2020",2020,3.98,MATH,Academic Math TOTAL,4,,4.00
232688,334532,Plainview Old-Bethpage Jfk Hs,"June 1, 2020",2020,3.63,MATH,Academic Math TOTAL,4,,3.32
232705,141778,Elk Grove High School,"May 1, 2020",2020,3.79,MATH,Academic Math TOTAL,4,,3.67
232713,151450,Morton Senior High School,"June 1, 2020",2020,3.9,MATH,Academic Math TOTAL,4,,3.96
232718,151390,Center Grove High School,"June 1, 2020",2020,3.05,MATH,Academic Math TOTAL,4,,3.29
232719,150608,Columbus East High School,"May 1, 2020",2020,3.9,MATH,Academic Math TOTAL,4,,3.89
232722,150445,Carmel High School,"May 1, 2020",2020,3.91,MATH,Academic Math TOTAL,4,,3.88
232751,480976,Tesla Stem High School,"June 1, 2020",2020,3.74,MATH,Academic Math TOTAL,3,,3.55
232787,110195,Marist School,"May 1, 2020",2020,3.33,MATH,Academic Math TOTAL,4.5,,3.17
232791,231330,Edwardsburg High School,"June 1, 2020",2020,3.94,MATH,Academic Math TOTAL,4,,4.00
232793,151915,Harrison High School,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,3,,4.00
232928,151075,Gibson Southern Hs,"May 1, 2020",2020,3.86,MATH,Academic Math TOTAL,4,,3.72
232956,882450,Instituto Alberto Einstein,"December 1, 2019",2019,3.63,MATH,Academic Math TOTAL,2,,1.80
233007,151175,Franklin Community High School,"May 1, 2020",2020,3.57,MATH,Academic Math TOTAL,6,,3.33
233009,150910,Concord High School,"June 1, 2020",2020,3.77,MATH,Academic Math TOTAL,5.5,,3.65
233040,151650,Ben Davis High School,"June 1, 2020",2020,3.59,MATH,Academic Math TOTAL,5,,3.54
233044,151647,Avon High School,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,3,,3.88
233075,334532,Plainview Old-Bethpage Jfk Hs,"June 1, 2020",2020,3.89,MATH,Academic Math TOTAL,4,,3.58
233081,151710,Lawrence Central High School,"June 1, 2020",2020,3.42,MATH,Academic Math TOTAL,5,,3.24
233112,144386,Wheaton North High School,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,4,,4.00
233122,230347,International Academy,"May 1, 2020",2020,3.63,MATH,Academic Math TOTAL,3,,4.00
233169,151710,Lawrence Central High School,"June 1, 2020",2020,3.97,MATH,Academic Math TOTAL,4,,3.89
233174,390488,Central Bucks High School East,"August 1, 2020",2020,3.67,MATH,Academic Math TOTAL,5,,3.68
233181,430168,Ravenwood High School,"May 1, 2020",2020,3.84,MATH,Academic Math TOTAL,3,,3.62
233195,153735,Westfield High School,"May 1, 2020",2020,3.82,MATH,Academic Math TOTAL,4,,3.62
233253,153795,Whiteland Community Hs,"May 1, 2020",2020,3.82,MATH,Academic Math TOTAL,7,,3.83
233274,160660,Cedar Falls High School,"May 1, 2020",2020,3.97,MATH,Academic Math TOTAL,5,,4.00
233307,152613,Blessed Theodore Guerin Hs,"May 1, 2020",2020,3.93,MATH,Academic Math TOTAL,3,,3.85
233312,151651,Roncalli High School,"May 1, 2020",2020,3.04,MATH,Academic Math TOTAL,3,,3.12
233322,171680,Bishop Seabury Academy,"May 1, 2020",2020,3.8,MATH,Academic Math TOTAL,3,,3.73
233325,152533,New Castle Chrysler Hs,"May 1, 2020",2020,3.97,MATH,Academic Math TOTAL,3,,3.90
233327,151175,Franklin Community High School,"May 1, 2020",2020,3.98,MATH,Academic Math TOTAL,4,,4.00
233337,671702,Delhi Pub Schl-Bangalore South,"March 1, 2020",2020,3.98,MATH,Academic Math TOTAL,3,,4.00
233350,142126,Grayslake North High School,"May 1, 2020",2020,3.57,MATH,Academic Math TOTAL,3,,3.28
233359,310355,Dwight-Englewood School,"May 1, 2020",2020,3.76,MATH,Academic Math TOTAL,3,,3.95
233372,150335,Brownsburg High School,"June 1, 2020",2020,3.92,MATH,Academic Math TOTAL,4,,4.00
233393,153560,Morgan Township School,"June 1, 2020",2020,3.99,MATH,Academic Math TOTAL,4,,3.96
233396,153175,Seymour High School,"May 1, 2020",2020,3.89,MATH,Academic Math TOTAL,3,,3.90
233398,143108,Neuqua Valley High School,"May 1, 2020",2020,3.41,MATH,Academic Math TOTAL,3,,3.62
233425,153085,Rushville Consolidated Hs,"May 1, 2020",2020,3.57,MATH,Academic Math TOTAL,4,,3.25
233431,153735,Westfield High School,"May 1, 2020",2020,3.98,MATH,Academic Math TOTAL,4,,4.00
233535,152780,Eastern High School,"June 1, 2020",2020,3.76,MATH,Academic Math TOTAL,3.5,,3.34
233545,151041,Fishers High School,"May 1, 2020",2020,3.98,MATH,Academic Math TOTAL,4,,4.00
233550,150335,Brownsburg High School,"June 1, 2020",2020,4,MATH,Academic Math TOTAL,3,,3.73
233557,361360,Saint Joseph Academy,"May 1, 2020",2020,3.73,MATH,Academic Math TOTAL,1.5,,3.23
233569,152645,Tri West Hendricks High School,"May 1, 2020",2020,3.77,MATH,Academic Math TOTAL,3,,3.50
233599,334885,South Side High School,"June 1, 2020",2020,3.97,MATH,Academic Math TOTAL,5,,4.00
233613,151716,Lutheran Hs Indianapolis,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,4,,4.00
233620,222335,Westford Academy,"June 1, 2020",2020,3.66,MATH,Academic Math TOTAL,3,,3.47
233630,153655,John Glenn High School,"May 1, 2020",2020,3.75,MATH,Academic Math TOTAL,1.5,,3.33
233698,141778,Elk Grove High School,"May 1, 2020",2020,3.95,MATH,Academic Math TOTAL,3,,4.00
233710,153560,Morgan Township School,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,4,,4.00
233721,143108,Neuqua Valley High School,"May 1, 2020",2020,3.79,MATH,Academic Math TOTAL,3,,3.83
233725,697035,Jumeirah College,"June 1, 2020",2020,3.56,,,,,
233742,150916,Elkhart Memorial High School,"June 1, 2020",2020,3.21,MATH,Academic Math TOTAL,3,,2.85
233819,431300,Maryville High School,"May 15, 2020",2020,4,MATH,Academic Math TOTAL,2.5,,4.00
233827,152615,Noblesville High School,"June 1, 2020",2020,3.87,MATH,Academic Math TOTAL,3,,3.85
233838,231255,Dexter High School,"June 1, 2020",2020,3.96,MATH,Academic Math TOTAL,4.5,,3.87
233850,364770,Springboro High School,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,3,,4.00
233853,150445,Carmel High School,"May 1, 2020",2020,3.09,MATH,Academic Math TOTAL,4,,2.48
233868,391130,Easton Area High School,"August 1, 2020",2020,3.97,MATH,Academic Math TOTAL,2,,3.96
233897,332995,Mamaroneck High School,"June 1, 2020",2020,3.88,MATH,Academic Math TOTAL,4,,3.68
233908,151045,Hamilton Southeastern Hs,"May 1, 2020",2020,3.61,MATH,Academic Math TOTAL,3,,3.33
233910,150608,Columbus East High School,"June 1, 2020",2020,3.81,MATH,Academic Math TOTAL,5,,3.54
233933,151045,Hamilton Southeastern Hs,"May 1, 2020",2020,3.64,MATH,Academic Math TOTAL,3,,3.22
233944,150335,Brownsburg High School,"June 1, 2020",2020,3.52,MATH,Academic Math TOTAL,4,,3.38
233955,152785,Pendleton Heights High School,"May 1, 2020",2020,3.97,MATH,Academic Math TOTAL,4,,4.00
233956,150695,Culver Academies,"June 1, 2020",2020,3.71,MATH,Academic Math TOTAL,1.5,,3.48
233961,151045,Hamilton Southeastern Hs,"May 1, 2020",2020,3.78,MATH,Academic Math TOTAL,4,,3.55
233978,151045,Hamilton Southeastern Hs,"May 1, 2020",2020,3.74,MATH,Academic Math TOTAL,4,,3.72
233987,151045,Hamilton Southeastern Hs,"May 1, 2020",2020,3.44,MATH,Academic Math TOTAL,5,,3.37
234006,151055,Carroll Jr.-Sr. High School,"May 1, 2020",2020,3.47,MATH,Academic Math TOTAL,3,,3.52
234013,150220,Bloomington High School North,"May 1, 2020",2020,3.71,MATH,Academic Math TOTAL,4,,3.48
234123,152785,Pendleton Heights High School,"May 1, 2020",2020,3.64,MATH,Academic Math TOTAL,3,,3.05
234129,151915,Harrison High School,"June 1, 2020",2020,3.41,MATH,Academic Math TOTAL,3,,3.00
234184,151045,Hamilton Southeastern Hs,"May 1, 2020",2020,3.69,MATH,Academic Math TOTAL,3,,3.57
234195,052563,Santa Margarita Catholic Hs,"June 1, 2020",2020,3.2,MATH,Academic Math TOTAL,5,,3.31
234199,151045,Hamilton Southeastern Hs,"May 1, 2020",2020,3.23,MATH,Academic Math TOTAL,5,,2.79
234206,152560,New Palestine High School,"May 1, 2020",2020,3.96,MATH,Academic Math TOTAL,5,,3.93
234255,151915,Harrison High School,"May 1, 2020",2020,3.81,MATH,Academic Math TOTAL,3,,3.83
234267,310410,Delaware Valley Regional Hs,"June 1, 2020",2020,3.59,MATH,Academic Math TOTAL,4,,3.15
234349,141393,Marian Catholic High School,"May 1, 2020",2020,3.85,MATH,Academic Math TOTAL,3,,3.88
234390,151585,Carroll High School,"May 1, 2020",2020,3.67,MATH,Academic Math TOTAL,3,,3.62
234392,151724,Perry Meridian High School,"May 1, 2020",2020,3.19,MATH,Academic Math TOTAL,5,,3.20
234393,361125,Ursuline Academy,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,4,,4.00
234395,260783,Whitfield School,"May 1, 2020",2020,3.79,MATH,Academic Math TOTAL,4.5,,3.97
234409,151651,Roncalli High School,"May 1, 2020",2020,3.9,MATH,Academic Math TOTAL,3,,3.72
234410,260591,Marquette High School,"May 1, 2020",2020,3.96,MATH,Academic Math TOTAL,5,,3.90
234482,153635,North Posey High School,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,4,,4.00
234515,260325,Branson High School,"May 1, 2020",2020,3.99,MATH,Academic Math TOTAL,4,,4.00
234531,152225,Martinsville High School,"May 1, 2020",2020,3.99,MATH,Academic Math TOTAL,4.5,,4.00
234541,144117,Victor J Andrew High School,"May 1, 2020",2020,3.86,MATH,Academic Math TOTAL,3,,3.67
234612,687225,Singapore American School,"June 1, 2020",2020,3.09,MATH,Academic Math TOTAL,3,,3.22
234635,053197,Jserra Catholic Hs,"May 1, 2020",2020,3.41,MATH,Academic Math TOTAL,5,,3.30
234689,150445,Carmel High School,"May 1, 2020",2020,3.08,MATH,Academic Math TOTAL,3,,3.40
234693,100510,Riverdale High School,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,5,,4.00
234699,431130,West High School,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,5,,4.00
234701,151045,Hamilton Southeastern Hs,"May 1, 2020",2020,3.72,MATH,Academic Math TOTAL,3,,3.43
234716,470120,Wakefield High School,"June 1, 2020",2020,3.69,MATH,Academic Math TOTAL,5,,3.46
234729,151103,Homestead High School,"June 1, 2020",2020,3.78,MATH,Academic Math TOTAL,3,,3.57
234740,210928,James M Bennett High School,"May 1, 2020",2020,3.88,MATH,Academic Math TOTAL,4,,4.00
234749,143062,Prospect High School,"May 1, 2020",2020,3.95,MATH,Academic Math TOTAL,3,,3.67
234814,141945,Grant Community High School,"May 1, 2020",2020,3.67,MATH,Academic Math TOTAL,3,,3.33
234822,470061,Briar Woods High School,"June 1, 2020",2020,,,,,,
234826,151915,Harrison High School,"May 1, 2020",2020,3.87,MATH,Academic Math TOTAL,4,,3.62
234858,150165,Bedford-North Lawrence Hs,"May 1, 2020",2020,3.59,MATH,Academic Math TOTAL,3,,3.20
234861,150915,Elkhart Central High School,"May 1, 2020",2020,3.98,MATH,Academic Math TOTAL,5.5,,3.95
234873,153900,Zionsville Community Hs,"May 1, 2020",2020,3.96,MATH,Academic Math TOTAL,3,,3.95
234926,142073,Glenbard South High School,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,5,,4.00
234989,070550,Newtown High School,"June 1, 2020",2020,3.74,MATH,Academic Math TOTAL,3,,3.43
235002,444836,Ridge Point High School,"May 1, 2020",2020,3.92,MATH,Academic Math TOTAL,5,,3.80
235003,150445,Carmel High School,"May 1, 2020",2020,3.79,MATH,Academic Math TOTAL,5,,3.57
235039,142635,Benet Academy,"May 1, 2020",2020,3.91,MATH,Academic Math TOTAL,3,,3.90
235049,151107,R Nelson Snider High School,"June 1, 2020",2020,3.95,MATH,Academic Math TOTAL,5,,4.00
235072,150500,Chesterton High School,"May 1, 2020",2020,3.32,MATH,Academic Math TOTAL,3.5,,3.44
235132,153380,Oak Hill High School,"June 1, 2020",2020,3.93,MATH,Academic Math TOTAL,4,,4.00
235196,151210,Caston High School,"May 1, 2020",2020,3.61,MATH,Academic Math TOTAL,4,,3.30
235241,153605,South Knox High School,"May 1, 2020",2020,3.92,MATH,Academic Math TOTAL,5,,3.85
235263,140178,Marmion Academy,"May 1, 2020",2020,3.99,MATH,Academic Math TOTAL,4,,3.96
235290,240080,Anoka High School,"June 1, 2020",2020,3.96,MATH,Academic Math TOTAL,4,,4.00
235331,390045,Hampton High School,"June 1, 2020",2020,4,MATH,Academic Math TOTAL,5,,4.00
235340,152990,Rising Sun High School,"June 1, 2020",2020,4,MATH,Academic Math TOTAL,4,,4.00
235357,151390,Center Grove High School,"May 1, 2020",2020,3.37,MATH,Academic Math TOTAL,2,,3.35
235358,060400,East High School,"May 1, 2020",2020,3.95,MATH,Academic Math TOTAL,3,,3.95
235362,480111,Bonney Lake High School,"June 1, 2020",2020,3.93,MATH,Academic Math TOTAL,3,,3.95
235390,152613,Blessed Theodore Guerin Hs,"July 1, 2020",2020,3.64,MATH,Academic Math TOTAL,3.5,,3.59
235407,151860,Knightstown Community High Sch,"June 1, 2020",2020,3.94,MATH,Academic Math TOTAL,3.5,,4.00
235415,142375,Providence Catholic HS,"May 1, 2020",2020,3.48,MATH,Academic Math TOTAL,4,,3.42
235417,334529,Pittsford Mendon High School,"June 1, 2020",2020,3.77,MATH,Academic Math TOTAL,4,,3.82
235420,UNKHSC,Unknown High School,"May 1, 2020",2020,,,,,,
235455,150165,Bedford-North Lawrence Hs,"May 1, 2020",2020,3.7,MATH,Academic Math TOTAL,4,,3.80
235460,140447,Buffalo Grove High School,"May 1, 2020",2020,3.73,MATH,Academic Math TOTAL,4,,3.12
235467,470402,Chantilly High School,"June 1, 2020",2020,3.5,MATH,Academic Math TOTAL,4,,3.22
235487,333150,Chaminade High School,"June 1, 2020",2020,3.94,MATH,Academic Math TOTAL,4.5,,4.00
235507,152010,Lawrenceburg High School,"June 1, 2020",2020,3.94,MATH,Academic Math TOTAL,7,,4.00
235517,142175,Warren Township High School,"May 1, 2020",2020,3.73,MATH,Academic Math TOTAL,3,,3.62
235525,070116,Coventry High School,"June 13, 2020",2020,4,MATH,Academic Math TOTAL,5,,4.00
235579,181602,De Sales High School,"May 1, 2020",2020,3.64,MATH,Academic Math TOTAL,3.5,,3.54
235608,232835,Northville High School,"May 1, 2020",2020,3.99,MATH,Academic Math TOTAL,4,,4.00
235615,143685,Rochester High School,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,4,,4.00
235622,447642,Woodlands College Park Hs The,"May 1, 2020",2020,3.59,MATH,Academic Math TOTAL,4,,3.14
235642,153750,Seeger Memorial Junior-Senior,"May 1, 2020",2020,3.7,MATH,Academic Math TOTAL,3,,3.05
235650,142300,Hinsdale Central High School,"May 1, 2020",2020,3.53,MATH,Academic Math TOTAL,3,,3.63
235651,365055,Saint Ursula Academy,"May 1, 2020",2020,3.83,MATH,Academic Math TOTAL,2.5,,4.00
235666,140385,Reed-Custer High School,"May 1, 2020",2020,3.86,MATH,Academic Math TOTAL,3,,3.57
235728,150500,Chesterton High School,"May 1, 2020",2020,3.97,MATH,Academic Math TOTAL,3,,3.95
235778,053080,Bellarmine College Preparatory,"May 1, 2020",2020,3.21,MATH,Academic Math TOTAL,3,,2.83
235806,143108,Neuqua Valley High School,"May 1, 2020",2020,3.92,MATH,Academic Math TOTAL,3,,3.45
235877,101729,Tampa Preparatory School,"May 1, 2020",2020,3.31,MATH,Academic Math TOTAL,4,,3.19
235878,365198,Hilliard Bradley High School,"May 1, 2020",2020,4,MATH,Academic Math TOTAL,4,,4.00
235903,342709,Green Hope High School,"June 1, 2020",2020,3.68,MATH,Academic Math TOTAL,2.5,,3.82
235921,445715,Prosper High School,"June 1, 2020",2020,3.64,MATH,Academic Math TOTAL,6,,3.31
