PUID_SIX,ACADEMIC_PERIOD,ACADEMIC_PERIOD_DESC,PRIMARY_PROGRAM_IND,STUDENT_LEVEL,STUDENT_LEVEL_DESC,STUDENT_CLASSIFICATION_BOAP,STUDENT_CLASS_BOAP_DESC,CAMPUS,CAMPUS_DESC,COLLEGE,COLLEGE_DESC,PROGRAM,PROGRAM_DESC,DEGREE,DEGREE_DESC,MAJOR,MAJOR_DESC
206512,202210,Fall 2021,Y,UG,Undergraduate,02,Freshman: 15 - 29 hours,PWL,West Lafayette,M,School of Management,ACCT-UND,Accounting Undecided,DS,Degree Seeking,PMGA,Pre Mgmt/Accounting
206943,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,PI,Polytechnic Institute,PIMET-BS,Mech Engr Tech-BS,BS,Bachelor of Science,METC,Mechanical Engr Technology
208372,202210,Fall 2021,Y,UG,Undergraduate,07,Senior 90 - 104 hours,PWL,West Lafayette,S,College of Science,CHEM-BSCHM,Chemistry-BS CHEM,BSCH,BS in Chemistry,BICH,Biochemistry (Chemistry)
210519,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,S,College of Science,PHYSICS-BS,Physics-BS,BS,Bachelor of Science,PHYS,Physics
211201,202210,Fall 2021,Y,UG,Undergraduate,07,Senior 90 - 104 hours,PWL,West Lafayette,M,School of Management,ECON-BS,Economics-BS,BS,Bachelor of Science,ECON,Economics
213952,202210,Fall 2021,Y,UG,Undergraduate,01,Freshman: 0 - 14 hours,PWL,West Lafayette,S,College of Science,BIOLOGY-BS,Biology-BS,BS,Bachelor of Science,BIOL,Biology
214275,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,PI,Polytechnic Institute,PIAENT-BS,Aeronautic Engr Technology-BS,BS,Bachelor of Science,AENT,Aeronautic Engr Technology
214358,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,US,Exploratory Studies,UNIV-EXPLOR,University Explorers,DS,Degree Seeking,UNEX,Explorers
214618,202210,Fall 2021,Y,UG,Undergraduate,02,Freshman: 15 - 29 hours,PWL,West Lafayette,E,First Year Engineering,ENGR,Engineering First Year,DS,Degree Seeking,ENFY,First Year Engineering
215301,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,S,College of Science,SCI-EDU-BS,Science Education-BS,BS,Bachelor of Science,SIED,Science Education
216344,202210,Fall 2021,Y,UG,Undergraduate,01,Freshman: 0 - 14 hours,PWL,West Lafayette,E,First Year Engineering,ENGR,Engineering First Year,DS,Degree Seeking,ENFY,First Year Engineering
218286,202210,Fall 2021,Y,UG,Undergraduate,02,Freshman: 15 - 29 hours,PWL,West Lafayette,E,First Year Engineering,ENGR,Engineering First Year,DS,Degree Seeking,ENFY,First Year Engineering
218431,202210,Fall 2021,Y,UG,Undergraduate,01,Freshman: 0 - 14 hours,PWL,West Lafayette,E,First Year Engineering,ENGR,Engineering First Year,DS,Degree Seeking,ENFY,First Year Engineering
218440,202210,Fall 2021,Y,UG,Undergraduate,02,Freshman: 15 - 29 hours,PWL,West Lafayette,E,First Year Engineering,ENGR,Engineering First Year,DS,Degree Seeking,ENFY,First Year Engineering
218833,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,US,Exploratory Studies,UNIV-EXPLOR,University Explorers,DS,Degree Seeking,UNEX,Explorers
219012,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,S,College of Science,CHEM-BSCHM,Chemistry-BS CHEM,BSCH,BS in Chemistry,BICH,Biochemistry (Chemistry)
219137,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,PI,Polytechnic Institute,PIMET-BS,Mech Engr Tech-BS,BS,Bachelor of Science,METC,Mechanical Engr Technology
219265,202210,Fall 2021,Y,UG,Undergraduate,02,Freshman: 15 - 29 hours,PWL,West Lafayette,E,First Year Engineering,ENGR,Engineering First Year,DS,Degree Seeking,ENFY,First Year Engineering
219267,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,S,College of Science,COMPSCI-BS,Computer Science-BS,BS,Bachelor of Science,CS,Computer Science
219856,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,PI,Polytechnic Institute,PICM-BS,Construct Mgmt Tech-BS,BS,Bachelor of Science,CM,Construction Management
219930,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,PI,Polytechnic Institute,PIMET-BS,Mech Engr Tech-BS,BS,Bachelor of Science,METC,Mechanical Engr Technology
220032,202210,Fall 2021,Y,UG,Undergraduate,06,Junior: 75 - 89 hours,PWL,West Lafayette,PI,Polytechnic Institute,PICM-BS,Construct Mgmt Tech-BS,BS,Bachelor of Science,CM,Construction Management
220489,202210,Fall 2021,Y,UG,Undergraduate,02,Freshman: 15 - 29 hours,PWL,West Lafayette,S,College of Science,PHYSICS-BS,Physics-BS,BS,Bachelor of Science,PHYS,Physics
222078,202210,Fall 2021,Y,UG,Undergraduate,02,Freshman: 15 - 29 hours,PWL,West Lafayette,US,Exploratory Studies,UNIV-EXPLOR,University Explorers,DS,Degree Seeking,UNEX,Explorers
222216,202210,Fall 2021,Y,UG,Undergraduate,02,Freshman: 15 - 29 hours,PWL,West Lafayette,E,First Year Engineering,ENGR,Engineering First Year,DS,Degree Seeking,ENFY,First Year Engineering
223363,202210,Fall 2021,Y,UG,Undergraduate,06,Junior: 75 - 89 hours,PWL,West Lafayette,A,College of Agriculture,ANSC-BS,Animal Sciences-BS,BS,Bachelor of Science,ASCI,Animal Sciences
223559,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,PI,Polytechnic Institute,PICM-BS,Construct Mgmt Tech-BS,BS,Bachelor of Science,CM,Construction Management
223906,202210,Fall 2021,N,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,LA,College of Liberal Arts,LA-CERT,Liberal Arts-Cert,CERT,Certificate,CSTN,Cornerstone
223906,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,PI,Polytechnic Institute,PICGT-BS,Comp Graphics Tech-BS,BS,Bachelor of Science,GASD,Game Development and Design
224221,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,PI,Polytechnic Institute,PICM-BS,Construct Mgmt Tech-BS,BS,Bachelor of Science,CM,Construction Management
224278,202210,Fall 2021,N,UG,Undergraduate,07,Senior 90 - 104 hours,PWL,West Lafayette,LA,College of Liberal Arts,LA-CERT,Liberal Arts-Cert,CERT,Certificate,CSTN,Cornerstone
224278,202210,Fall 2021,N,UG,Undergraduate,07,Senior 90 - 104 hours,PWL,West Lafayette,PI,Polytechnic Institute,PIAUAS-BS,Unmanned Aerial Systems-BS,BS,Bachelor of Science,AUAS,Unmanned Aerial Systems
224278,202210,Fall 2021,Y,UG,Undergraduate,07,Senior 90 - 104 hours,PWL,West Lafayette,PI,Polytechnic Institute,PIAVFT-BS,Aviation Technology-BS,BS,Bachelor of Science,AVFT,Prof Flight Technology
224522,202210,Fall 2021,N,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,LA,College of Liberal Arts,LA-CERT,Liberal Arts-Cert,CERT,Certificate,CSTN,Cornerstone
224522,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,PI,Polytechnic Institute,PICGT-BS,Comp Graphics Tech-BS,BS,Bachelor of Science,GASD,Game Development and Design
224524,202210,Fall 2021,Y,UG,Undergraduate,06,Junior: 75 - 89 hours,PWL,West Lafayette,S,College of Science,SCI-EDU-BS,Science Education-BS,BS,Bachelor of Science,SIED,Science Education
224529,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,US,Exploratory Studies,UNIV-EXPLOR,University Explorers,DS,Degree Seeking,UNEX,Explorers
224624,202210,Fall 2021,Y,UG,Undergraduate,06,Junior: 75 - 89 hours,PWL,West Lafayette,PI,Polytechnic Institute,PIAVFT-BS,Aviation Technology-BS,BS,Bachelor of Science,AVFT,Prof Flight Technology
224756,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,S,College of Science,CHEM-BSCHM,Chemistry-BS CHEM,BSCH,BS in Chemistry,BICH,Biochemistry (Chemistry)
224833,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,S,College of Science,CHEM-BSCHM,Chemistry-BS CHEM,BSCH,BS in Chemistry,BICH,Biochemistry (Chemistry)
225161,202210,Fall 2021,Y,UG,Undergraduate,05,Junior: 60 - 74 hours,PWL,West Lafayette,S,College of Science,MATH-BS,Mathematics-BS,BS,Bachelor of Science,ACSC,Actuarial Science
225214,202210,Fall 2021,Y,GR,Graduate,GR,Graduate,PWL,West Lafayette,GR,Graduate School,IESE-PHD,Intrdscp Ecolog Sci Engr-PHD,PHD,Doctor of Philosophy,IESE,Int Ecog Sci & Eng
225279,202210,Fall 2021,N,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,LA,College of Liberal Arts,LA-CERT,Liberal Arts-Cert,CERT,Certificate,CSTN,Cornerstone
225279,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,PI,Polytechnic Institute,PICGT-BS,Comp Graphics Tech-BS,BS,Bachelor of Science,VIPI,Virtual Product Integration
225295,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,PI,Polytechnic Institute,PICM-BS,Construct Mgmt Tech-BS,BS,Bachelor of Science,CM,Construction Management
225325,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,PI,Polytechnic Institute,PICM-BS,Construct Mgmt Tech-BS,BS,Bachelor of Science,CM,Construction Management
225478,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,S,College of Science,CHEM-BS,Chemistry-BS,BS,Bachelor of Science,CHEM,Chemistry
225601,202210,Fall 2021,Y,UG,Undergraduate,05,Junior: 60 - 74 hours,PWL,West Lafayette,PI,Polytechnic Institute,PIMFET-BS,Mfg Engineering Technology-BS,BS,Bachelor of Science,ROET,Robotics Engr Technology
225831,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,S,College of Science,EAPS-BS,"Erth, Atmos Planetary Sci-BS",BS,Bachelor of Science,ATSC,Atmospheric Science
225905,202210,Fall 2021,N,UG,Undergraduate,02,Freshman: 15 - 29 hours,PWL,West Lafayette,LA,College of Liberal Arts,LA-CERT,Liberal Arts-Cert,CERT,Certificate,CSTN,Cornerstone
225905,202210,Fall 2021,Y,UG,Undergraduate,02,Freshman: 15 - 29 hours,PWL,West Lafayette,PI,Polytechnic Institute,PICGT-BS,Comp Graphics Tech-BS,BS,Bachelor of Science,GASD,Game Development and Design
226005,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,PI,Polytechnic Institute,PIAVMG-BS,Aviation Management-BS,BS,Bachelor of Science,AVMG,Aviation Management
226106,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,PI,Polytechnic Institute,PI-IET-BS,Industrial Engineering Tech-BS,BS,Bachelor of Science,TIET,Industrial Engineering Tech
226344,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,PI,Polytechnic Institute,PIMET-BS,Mech Engr Tech-BS,BS,Bachelor of Science,METC,Mechanical Engr Technology
226503,202210,Fall 2021,Y,UG,Undergraduate,05,Junior: 60 - 74 hours,PWL,West Lafayette,S,College of Science,EAPS-BS,"Erth, Atmos Planetary Sci-BS",BS,Bachelor of Science,ATSC,Atmospheric Science
226541,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,PI,Polytechnic Institute,PIAVFT-BS,Aviation Technology-BS,BS,Bachelor of Science,AVFT,Prof Flight Technology
227676,202210,Fall 2021,N,UG,Undergraduate,05,Junior: 60 - 74 hours,PWL,West Lafayette,LA,College of Liberal Arts,SOC-BA,Sociology-BA,BA,Bachelor of Arts,LAWS,Law and Society
227676,202210,Fall 2021,Y,UG,Undergraduate,05,Junior: 60 - 74 hours,PWL,West Lafayette,S,College of Science,CHEM-BS,Chemistry-BS,BS,Bachelor of Science,CHEM,Chemistry
228011,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,PI,Polytechnic Institute,PIECET-BS,Electrical Engr Tech-BS,BS,Bachelor of Science,EETC,Electrical Engr Technology
228185,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,PI,Polytechnic Institute,PIAVFT-BS,Aviation Technology-BS,BS,Bachelor of Science,AVFT,Prof Flight Technology
228332,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,HH,College of Health & Human Sci,HLSC-BS,Health Sci-Medt and Rad-BS,BS,Bachelor of Science,RADH,Radiological Health Sciences
228359,202210,Fall 2021,Y,UG,Undergraduate,02,Freshman: 15 - 29 hours,PWL,West Lafayette,PI,Polytechnic Institute,PIECET-BS,Electrical Engr Tech-BS,BS,Bachelor of Science,EETC,Electrical Engr Technology
228379,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,PI,Polytechnic Institute,PICM-BS,Construct Mgmt Tech-BS,BS,Bachelor of Science,CM,Construction Management
229052,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,US,Exploratory Studies,UNIV-EXPLOR,University Explorers,DS,Degree Seeking,UNEX,Explorers
229086,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,PI,Polytechnic Institute,PIMET-BS,Mech Engr Tech-BS,BS,Bachelor of Science,METC,Mechanical Engr Technology
229137,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,A,College of Agriculture,WILDLIFE-BS,Wildlife-BS,BS,Bachelor of Science,WLDL,Wildlife
229200,202210,Fall 2021,Y,UG,Undergraduate,06,Junior: 75 - 89 hours,PWL,West Lafayette,S,College of Science,CHEM-BSCHM,Chemistry-BS CHEM,BSCH,BS in Chemistry,BICH,Biochemistry (Chemistry)
229617,202210,Fall 2021,Y,UG,Undergraduate,02,Freshman: 15 - 29 hours,PWL,West Lafayette,PC,College of Pharmacy,PHAR-BS,Pharmacy-BS,BS,Bachelor of Science,PHAR,Pharmaceutical Sciences
229651,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,S,College of Science,PHYSICS-BS,Physics-BS,BS,Bachelor of Science,PHYS,Physics
229879,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,HH,College of Health & Human Sci,PSYSCI-BS,Psychology Sci-BS,BS,Bachelor of Science,BBS,Brain and Behavioral Sci
230038,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,PI,Polytechnic Institute,PICGT-BS,Comp Graphics Tech-BS,BS,Bachelor of Science,GASD,Game Development and Design
230091,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,PI,Polytechnic Institute,PICM-BS,Construct Mgmt Tech-BS,BS,Bachelor of Science,CM,Construction Management
230148,202210,Fall 2021,N,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,M,School of Management,ENTR-CERT,Entrepreneurship-Cert,CERT,Certificate,ENTR,Entrepreneur & Innovation
230148,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,PC,College of Pharmacy,PHAR-BS,Pharmacy-BS,BS,Bachelor of Science,PHAR,Pharmaceutical Sciences
230181,202210,Fall 2021,Y,UG,Undergraduate,05,Junior: 60 - 74 hours,PWL,West Lafayette,S,College of Science,COMPSCI-BS,Computer Science-BS,BS,Bachelor of Science,CSHO,Computer Science Honors
230193,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,S,College of Science,BIOLOGY-BS,Biology-BS,BS,Bachelor of Science,BIOL,Biology
230216,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,E,First Year Engineering,ENGR,Engineering First Year,DS,Degree Seeking,ENFY,First Year Engineering
230245,202210,Fall 2021,Y,UG,Undergraduate,05,Junior: 60 - 74 hours,PWL,West Lafayette,PI,Polytechnic Institute,PIMET-BS,Mech Engr Tech-BS,BS,Bachelor of Science,METC,Mechanical Engr Technology
230253,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,S,College of Science,EAPS-BS,"Erth, Atmos Planetary Sci-BS",BS,Bachelor of Science,ATSC,Atmospheric Science
230318,202210,Fall 2021,Y,UG,Undergraduate,05,Junior: 60 - 74 hours,PWL,West Lafayette,PI,Polytechnic Institute,PI-IET-BS,Industrial Engineering Tech-BS,BS,Bachelor of Science,TIET,Industrial Engineering Tech
230543,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,PC,College of Pharmacy,PHAR-BS,Pharmacy-BS,BS,Bachelor of Science,PHAR,Pharmaceutical Sciences
230570,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,PI,Polytechnic Institute,PIAENT-BS,Aeronautic Engr Technology-BS,BS,Bachelor of Science,AENT,Aeronautic Engr Technology
230586,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,S,College of Science,GEOLOGY-BS,Geology Earth Science-BS,BS,Bachelor of Science,GEOP,Geology & Geophysics
230690,202210,Fall 2021,Y,UG,Undergraduate,08,Senior 105+ hours,PWL,West Lafayette,S,College of Science,CHEM-BSCHM,Chemistry-BS CHEM,BSCH,BS in Chemistry,BICH,Biochemistry (Chemistry)
230789,202210,Fall 2021,Y,UG,Undergraduate,02,Freshman: 15 - 29 hours,PWL,West Lafayette,PI,Polytechnic Institute,PIMET-BS,Mech Engr Tech-BS,BS,Bachelor of Science,METC,Mechanical Engr Technology
230814,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,PC,College of Pharmacy,PHAR-BS,Pharmacy-BS,BS,Bachelor of Science,PHAR,Pharmaceutical Sciences
230943,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,S,College of Science,EAPS-BS,"Erth, Atmos Planetary Sci-BS",BS,Bachelor of Science,PLSI,Planetary Sciences
231065,202210,Fall 2021,Y,UG,Undergraduate,02,Freshman: 15 - 29 hours,PWL,West Lafayette,PC,College of Pharmacy,PHAR-BS,Pharmacy-BS,BS,Bachelor of Science,PHAR,Pharmaceutical Sciences
231090,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,PI,Polytechnic Institute,PICM-BS,Construct Mgmt Tech-BS,BS,Bachelor of Science,CM,Construction Management
231183,202210,Fall 2021,N,UG,Undergraduate,02,Freshman: 15 - 29 hours,TAN,Anderson,ND,Temporary,REGTR-UGRD,Reg Campus Transfer Undergrad,DS,Degree Seeking,RCTR,Regional Campus Transfer
231183,202210,Fall 2021,Y,UG,Undergraduate,02,Freshman: 15 - 29 hours,PWL,West Lafayette,PI,Polytechnic Institute,PIECET-BS,Electrical Engr Tech-BS,BS,Bachelor of Science,EETC,Electrical Engr Technology
231690,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,PI,Polytechnic Institute,PICM-BS,Construct Mgmt Tech-BS,BS,Bachelor of Science,CM,Construction Management
231940,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,PI,Polytechnic Institute,PICM-BS,Construct Mgmt Tech-BS,BS,Bachelor of Science,CM,Construction Management
231942,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,HH,College of Health & Human Sci,HK-BS,Health and Kinesiology-BS,BS,Bachelor of Science,KINE,Kinesiology
232065,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,PI,Polytechnic Institute,PIECET-BS,Electrical Engr Tech-BS,BS,Bachelor of Science,AUET,Audio Engineering Technology
232075,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,HH,College of Health & Human Sci,PSYSCI-BS,Psychology Sci-BS,BS,Bachelor of Science,PSYS,Psychological Sciences
232121,202210,Fall 2021,Y,UG,Undergraduate,05,Junior: 60 - 74 hours,PWL,West Lafayette,PC,College of Pharmacy,PHAR-BS,Pharmacy-BS,BS,Bachelor of Science,PHAR,Pharmaceutical Sciences
232387,202210,Fall 2021,N,UG,Undergraduate,05,Junior: 60 - 74 hours,PWL,West Lafayette,LA,College of Liberal Arts,LA-CERT,Liberal Arts-Cert,CERT,Certificate,CMEH,Medical Humanities
232387,202210,Fall 2021,Y,UG,Undergraduate,05,Junior: 60 - 74 hours,PWL,West Lafayette,PC,College of Pharmacy,PHAR-BS,Pharmacy-BS,BS,Bachelor of Science,PHAR,Pharmaceutical Sciences
232647,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,S,College of Science,EAPS-BS,"Erth, Atmos Planetary Sci-BS",BS,Bachelor of Science,ATSC,Atmospheric Science
232688,202210,Fall 2021,N,UG,Undergraduate,05,Junior: 60 - 74 hours,PWL,West Lafayette,PI,Polytechnic Institute,PIAVFT-BS,Aviation Technology-BS,BS,Bachelor of Science,AVFT,Prof Flight Technology
232688,202210,Fall 2021,Y,UG,Undergraduate,05,Junior: 60 - 74 hours,PWL,West Lafayette,PI,Polytechnic Institute,PIAVMG-BS,Aviation Management-BS,BS,Bachelor of Science,AVMG,Aviation Management
232719,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,PC,College of Pharmacy,PHAR-BS,Pharmacy-BS,BS,Bachelor of Science,PHAR,Pharmaceutical Sciences
233040,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,PC,College of Pharmacy,PHAR-BS,Pharmacy-BS,BS,Bachelor of Science,PHAR,Pharmaceutical Sciences
233169,202210,Fall 2021,N,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,LA,College of Liberal Arts,LA-CERT,Liberal Arts-Cert,CERT,Certificate,CSTN,Cornerstone
233169,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,PI,Polytechnic Institute,PICGT-BS,Comp Graphics Tech-BS,BS,Bachelor of Science,GASD,Game Development and Design
233181,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,PC,College of Pharmacy,PHAR-BS,Pharmacy-BS,BS,Bachelor of Science,PHAR,Pharmaceutical Sciences
233195,202210,Fall 2021,Y,UG,Undergraduate,02,Freshman: 15 - 29 hours,PWL,West Lafayette,E,First Year Engineering,ENGR,Engineering First Year,DS,Degree Seeking,ENFY,First Year Engineering
233322,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,PI,Polytechnic Institute,PIAVFT-BS,Aviation Technology-BS,BS,Bachelor of Science,AVFT,Prof Flight Technology
233325,202210,Fall 2021,Y,UG,Undergraduate,05,Junior: 60 - 74 hours,PWL,West Lafayette,PC,College of Pharmacy,PHAR-BS,Pharmacy-BS,BS,Bachelor of Science,PHAR,Pharmaceutical Sciences
233327,202210,Fall 2021,Y,UG,Undergraduate,05,Junior: 60 - 74 hours,PWL,West Lafayette,S,College of Science,EAPS-BS,"Erth, Atmos Planetary Sci-BS",BS,Bachelor of Science,ATSC,Atmospheric Science
233398,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,PI,Polytechnic Institute,PIMET-BS,Mech Engr Tech-BS,BS,Bachelor of Science,METC,Mechanical Engr Technology
233698,202210,Fall 2021,Y,UG,Undergraduate,05,Junior: 60 - 74 hours,PWL,West Lafayette,S,College of Science,EAPS-BS,"Erth, Atmos Planetary Sci-BS",BS,Bachelor of Science,PLSI,Planetary Sciences
233853,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,HH,College of Health & Human Sci,PUBH-BS,Public Health-BS,BS,Bachelor of Science,PUBH,Public Health
233933,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,HH,College of Health & Human Sci,HK-BS,Health and Kinesiology-BS,BS,Bachelor of Science,KINE,Kinesiology
234129,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,PI,Polytechnic Institute,PICM-BS,Construct Mgmt Tech-BS,BS,Bachelor of Science,CM,Construction Management
234267,202210,Fall 2021,Y,UG,Undergraduate,01,Freshman: 0 - 14 hours,PWL,West Lafayette,S,College of Science,PHYSICS-BS,Physics-BS,BS,Bachelor of Science,PHYS,Physics
234390,202210,Fall 2021,Y,UG,Undergraduate,03,Sophomore: 30 - 44 hours,PWL,West Lafayette,HH,College of Health & Human Sci,HENV-BS,Health Sci-Environ Health-BS,BSEH,BS in Environmental Health,ENHS,Envr Health Science
234392,202210,Fall 2021,Y,UG,Undergraduate,05,Junior: 60 - 74 hours,PWL,West Lafayette,A,College of Agriculture,AGRONOMY-BS,Agronomy-BS,BS,Bachelor of Science,PGBB,Plant Genetic Breeding Biotech
234541,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,S,College of Science,CHEM-BSCHM,Chemistry-BS CHEM,BSCH,BS in Chemistry,BICH,Biochemistry (Chemistry)
234635,202210,Fall 2021,N,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,LA,College of Liberal Arts,LA-CERT,Liberal Arts-Cert,CERT,Certificate,CSTN,Cornerstone
234635,202210,Fall 2021,Y,UG,Undergraduate,04,Sophomore: 45 - 59 hours,PWL,West Lafayette,PI,Polytechnic Institute,PIAVFT-BS,Aviation Technology-BS,BS,Bachelor of Science,AVFT,Prof Flight Technology
234689,202210,Fall 2021,N,UG,Undergraduate,02,Freshman: 15 - 29 hours,PWL,West Lafayette,LA,College of Liberal Arts,LA-CERT,Liberal Arts-Cert,CERT,Certificate,CSTN,Cornerstone
234689,202210,Fall 2021,Y,UG,Undergraduate,02,Freshman: 15 - 29 hours,PWL,West Lafayette,PI,Polytechnic Institute,PICGT-BS,Comp Graphics Tech-BS,BS,Bachelor of Science,DTVS,Data Visualization
